[00:00:00] 体の上とはだいたいできたかなと思うので 次は服のウェイトをやっていこうと思い
[00:01:59] ジェネレートデータレイヤーズってやって きますデータ
[00:02:01] きますデータ 転送盛りファイヤーの設定はこれで良くて
[00:02:03] 転送盛りファイヤーの設定はこれで良くて あとは
[00:02:05] あとは モディファイアを追加します
[00:02:07] モディファイアを追加します 動かしてみるともうついてきてるけどなん
[00:02:11] 動かしてみるともうついてきてるけどなん かうわーみたいなうわぁ変な感じになって
[00:02:14] かうわーみたいなうわぁ変な感じになって ますよねこれはえっと2個目のフォルダの
[00:02:18] ますよねこれはえっと2個目のフォルダの このウェイト転送用の体も今アマチュア
[00:02:23] このウェイト転送用の体も今アマチュア 動かした時についてきててこの動いた状態
[00:02:26] 動かした時についてきててこの動いた状態 から
[00:02:27] から ウェイト転送してる感じになってるので
[00:02:29] ウェイト転送してる感じになってるので ここのアーチャーモリファイアは一旦オフ
[00:02:31] ここのアーチャーモリファイアは一旦オフ とおきます
[00:02:34] とおきます これで動かしてみるとそんな変じゃない
[00:02:37] これで動かしてみるとそんな変じゃない 感じでくっついて動いてませんねお尻に
[00:02:40] 感じでくっついて動いてませんねお尻に もうちょっと割りは必要かもしれんけど
[00:02:45] これと同じやり方で他の服オブジェクトも 同じ設定で
[00:02:51] 同じ設定で ウェイトを転送してあげます
[00:02:53] ウェイトを転送してあげます 簡単なやり方としては以前紹介したコピー
[00:02:57] 簡単なやり方としては以前紹介したコピー アトリビュッズメニューというアドを使っ
[00:02:59] アトリビュッズメニューというアドを使っ て
[00:03:01] て えっとモリファイアの設定をコピーしよう
[00:03:04] えっとモリファイアの設定をコピーしよう と思います
[00:03:05] と思います ドロワーズの順にシフト選択して
[00:03:09] ドロワーズの順にシフト選択して コントロールCでコピー
[00:03:12] コントロールCでコピー セレクテットモディファイアーズを選び
[00:03:14] セレクテットモディファイアーズを選び ますでデータトランスファーと
[00:03:16] ますでデータトランスファーと アーマッチャーを選んでOK
[00:03:19] アーマッチャーを選んでOK そうすると靴にもデータトランスファー
[00:03:22] そうすると靴にもデータトランスファー モディファイヤーモディファイアが追加さ
[00:03:24] モディファイヤーモディファイアが追加さ れますでこのジェネレートデータレイヤー
[00:03:28] れますでこのジェネレートデータレイヤー ズっていうのが
[00:03:29] ズっていうのが 頂点グループ作ってくれるよっていうやつ
[00:03:32] 頂点グループ作ってくれるよっていうやつ なんですけどこれはそれぞれやってあげる
[00:03:34] なんですけどこれはそれぞれやってあげる 必要があるのでやってあげてください押し
[00:03:37] 必要があるのでやってあげてください押し た瞬間にピッと動きましたね
[00:03:44] [音楽]
[00:03:50] 真ん中のポンポンは [音楽]
[00:03:54] [音楽] ぐちゃってるんですけど
[00:03:55] ぐちゃってるんですけど こういうところはもうデータ転送モリファ
[00:03:59] こういうところはもうデータ転送モリファ や適応した後に手直ししてあげる必要が
[00:04:02] や適応した後に手直ししてあげる必要が あると思います
[00:04:05] ひとまずほっとくとして他のワンピースと かもやってますねワンピースドロワーズ
[00:04:11] かもやってますねワンピースドロワーズ シフト選択してコントロールしコピー
[00:04:16] シフト選択してコントロールしコピー セレクテッドモディファイアースデータ
[00:04:18] セレクテッドモディファイアースデータ トランスファーとアーチャー選んでOK
[00:04:22] でワンピースの方で ジェネレートデータレイヤーズ
[00:04:26] ジェネレートデータレイヤーズ [音楽]
[00:04:31] [音楽] これで体にくっついて動いてくれるように
[00:04:34] これで体にくっついて動いてくれるように なりましたねワンピースの下の方は後々
[00:04:37] なりましたねワンピースの下の方は後々 またワンピース用揺れ物用のボーンを作っ
[00:04:41] またワンピース用揺れ物用のボーンを作っ てさらにウェイトを上書きしようと思い
[00:04:44] てさらにウェイトを上書きしようと思い ます
[00:04:48] この絵の首回りも後でウエイト直して あげる必要がありそうですね
[00:04:55] 脇周りとかは特に問題なさそうベイト 転送
[00:05:01] 転送 元の形状とウェイト転送先の形状が近けれ
[00:05:04] 元の形状とウェイト転送先の形状が近けれ ば近いほど
[00:05:07] 転送はうまくいきやすいですね
[00:05:11] 他の服も同じようにやってあげます
[00:05:16] 今これが動いてないやつだから最後にワン ピース
[00:05:20] ピース 選択してコントロールCでコピー
[00:05:22] 選択してコントロールCでコピー セレクテッドモディファイヤーズオンにし
[00:05:24] セレクテッドモディファイヤーズオンにし てOKにして
[00:05:26] てOKにして 1個1個
[00:05:28] 1個1個 ジェネレートデータレイヤースをオンにし
[00:05:31] ジェネレートデータレイヤースをオンにし ていくと
[00:05:34] [音楽] 筆はやっぱり転送する時にこういう形し
[00:05:41] 筆はやっぱり転送する時にこういう形し てるとこの下の方とか腕よりも体に近いの
[00:05:45] てるとこの下の方とか腕よりも体に近いの でこういう風にウェイトが置いてかれ
[00:05:47] でこういう風にウェイトが置いてかれ ちゃってますね
[00:05:50] それの形状後で もうちょっとクイッて後ろ向きにする予定
[00:05:56] もうちょっとクイッて後ろ向きにする予定 なのでそこから調整してあげてもいいと
[00:05:58] なのでそこから調整してあげてもいいと 思います
[00:06:01] フードも概ね良さそうですけどこの辺とか は
[00:06:06] は [音楽]
[00:06:07] [音楽] 直した方がいいですねパクパク
[00:06:10] 直した方がいいですねパクパク ぐちゃぐちゃってなってるところとか
[00:06:14] [音楽]
[00:06:18] ざっくりしたウェイトだったらこういう風 に
[00:06:21] に ウェイト転送で楽にやってあげられるん
[00:06:23] ウェイト転送で楽にやってあげられるん じゃないかなと思います
[00:06:26] ふわとりあえずこんな感じにしておいて次 は髪やってあげます
[00:06:31] は髪やってあげます オブジェクト表示して
[00:06:34] オブジェクト表示して 顔でやった時と同じように頂点グループを
[00:06:38] 顔でやった時と同じように頂点グループを 作ってあげるやり方でやろうと思います
[00:06:40] 作ってあげるやり方でやろうと思います まずは前髪から
[00:06:43] まずは前髪から 別途っていう頂点グループ作るデザイン
[00:06:47] 別途っていう頂点グループ作るデザイン 選択して
[00:06:48] 選択して ウェイト1をアサインするでアーマちゃん
[00:06:52] ウェイト1をアサインするでアーマちゃん のリファイヤーを追加するこれでピッと
[00:06:55] のリファイヤーを追加するこれでピッと 動きましたねアマチュアモディファイヤー
[00:06:58] 動きましたねアマチュアモディファイヤー だけ
[00:07:00] 他の紙オブジェクトにも追加しておこうと 思います
[00:07:03] 思います 最後にシフト選択で失礼にモディファイア
[00:07:07] 最後にシフト選択で失礼にモディファイア 追加した
[00:07:08] 追加した 紙選択してコントロールCでコピーすると
[00:07:12] 紙選択してコントロールCでコピーすると モディファイアンスでアマチュアを選択
[00:07:15] モディファイアンスでアマチュアを選択 そしたらあとは
[00:07:20] ヘッドの頂点グループ作ってウエイト1 割当てて1個1個していってあげて
[00:07:25] 割当てて1個1個していってあげて ください
[00:07:27] ください [音楽]
[00:07:31] [音楽] 4時になってるのもALT1にしてから
[00:07:34] 4時になってるのもALT1にしてから アサインですね
[00:07:36] アサインですね [音楽]
[00:07:38] [音楽] これで頭を動かしたら髪の毛もついてくる
[00:07:40] これで頭を動かしたら髪の毛もついてくる ようになってくれましたね
[00:07:45] 次は小物のウェイトをやってあげようと 思います
[00:07:50] まずは簡単なところからこれは頭に くっついて動いたらいいと思うので
[00:07:56] くっついて動いたらいいと思うので えっとの
[00:07:58] えっとの ウェイト1割り当てして
[00:08:02] ウェイト1割り当てして アーチャーマディファイヤーを
[00:08:04] アーチャーマディファイヤーを 追加
[00:08:08] パッチンと目は紙から フェイク転送するような感じにしてみます
[00:08:13] フェイク転送するような感じにしてみます 今のところはヘッドのウェイトしか
[00:08:15] 今のところはヘッドのウェイトしか 割り当てられてないけど後々
[00:08:18] 割り当てられてないけど後々 揺らす用の棒も入れる予定なのでなので
[00:08:21] 揺らす用の棒も入れる予定なのでなので これ選んでまずはデータトランスファーで
[00:08:25] これ選んでまずはデータトランスファーで ソースはこの
[00:08:27] ソースはこの サイドヘアにしてあげて
[00:08:30] バーテックスグループをニアレスト フェイスインターポレットにするのと
[00:08:36] フェイスインターポレットにするのと ジェネレートデータレイアウトをオンにし
[00:08:38] ジェネレートデータレイアウトをオンにし てから
[00:08:40] てから アマチュアまでファイヤーを追加これで
[00:08:43] アマチュアまでファイヤーを追加これで ピット
[00:08:44] ピット 移動してくれましたね
[00:08:46] 移動してくれましたね [音楽]
[00:08:48] [音楽] 他のパッチン止めパーツもこれと同じ
[00:08:51] 他のパッチン止めパーツもこれと同じ モディファイヤーの設定をコピーしたいの
[00:08:53] モディファイヤーの設定をコピーしたいの でコントロールCでコピーすると
[00:08:56] でコントロールCでコピーすると モディファイアースでデータ
[00:08:58] モディファイアースでデータ トランスファーチャー選んでOK
[00:09:01] トランスファーチャー選んでOK にして
[00:09:03] にして ジェネレートデータレイヤーズのところも
[00:09:06] ジェネレートデータレイヤーズのところも ポチしてあげてください
[00:09:10] のフードにくっついて動くやつはフード からウェイト転送しようかなと思います
[00:09:17] からウェイト転送しようかなと思います データトランスファーや追加してソースは
[00:09:20] データトランスファーや追加してソースは フードにする
[00:09:21] フードにする を
[00:09:23] を 頂点データにチェック頂点グループオンに
[00:09:28] 頂点データにチェック頂点グループオンに するマッピングにはレストフェイス
[00:09:30] するマッピングにはレストフェイス インターフェイテッドにする
[00:09:33] インターフェイテッドにする ジェネレートデータレイアウトしてから
[00:09:34] ジェネレートデータレイアウトしてから アーマッチ
[00:09:36] アーマッチ 上がりファイヤーを
[00:09:37] 上がりファイヤーを 追加する
[00:09:38] 追加する [音楽]
[00:09:44] くっついて動いてきてますね一応 [音楽]
[00:09:48] [音楽] 羽根も物理でちょっと
[00:09:49] 羽根も物理でちょっと 揺らすとして残ってる小物は全部
[00:09:52] 揺らすとして残ってる小物は全部 揺れ物関連のものなのでこれ用の防音を
[00:09:56] 揺れ物関連のものなのでこれ用の防音を 追加した後にウェイトペーとしてあげよう
[00:09:58] 追加した後にウェイトペーとしてあげよう と思います
[00:09:59] と思います [音楽]
[00:10:02] [音楽] じゃあ次は揺れ物用のボーン入れて
[00:10:05] じゃあ次は揺れ物用のボーン入れて ウエイトを塗っていこうかなと思います
[00:10:09] ウエイトを塗っていこうかなと思います 揺れ物も基本私はウェイト転送でやるのが
[00:10:12] 揺れ物も基本私はウェイト転送でやるのが 好きなんですけれども一番
[00:10:15] 好きなんですけれども一番 簡単そうな羽からやってみようかなと思い
[00:10:18] 簡単そうな羽からやってみようかなと思い ます
[00:10:19] ます 一旦羽根のラティスモディファイヤーを
[00:10:22] 一旦羽根のラティスモディファイヤーを オフしておいて
[00:10:24] オフしておいて 骨用の棒をまずは追加しますね
[00:10:27] 骨用の棒をまずは追加しますね シフトAってやると新しいボムが3D
[00:10:32] シフトAってやると新しいボムが3D カーソルあるところに生成されるんです
[00:10:34] カーソルあるところに生成されるんです けれどもこのボーンを筆の近くに持って
[00:10:37] けれどもこのボーンを筆の近くに持って いけます
[00:10:38] いけます [音楽]
[00:10:41] [音楽] 頂点スナップ使うとやりやすいかもここ
[00:10:45] 頂点スナップ使うとやりやすいかもここ 姉の先っちょに持ってってこれはじゃあ
[00:10:48] 姉の先っちょに持ってってこれはじゃあ ここ
[00:10:49] ここ こんな感じでいいかな
[00:10:51] こんな感じでいいかな 本名は
[00:10:53] 本名は [音楽]
[00:10:54] [音楽] ウイングドットLにして
[00:10:58] ウイングドットLにして うーんとシフト選択でチェスト選んで
[00:11:01] うーんとシフト選択でチェスト選んで コントロールpeoセットで親子付けして
[00:11:05] コントロールpeoセットで親子付けして おきますそして右クリックシンメトライズ
[00:11:09] おきますそして右クリックシンメトライズ でウイングドットRのボーンも作ってあげ
[00:11:11] でウイングドットRのボーンも作ってあげ ます
[00:11:13] ます ポーズモードで動かすと
[00:11:16] ポーズモードで動かすと テストについてきてくれてますねOKそし
[00:11:20] テストについてきてくれてますねOKそし たら今度はウェイトを指定してあげます
[00:11:26] ラティスモディファイラーは切ってた方が ちょっと作業しやすい気がするので一旦
[00:11:31] ちょっと作業しやすい気がするので一旦 切っておいて割と
[00:11:33] 切っておいて割と 転送用の板を作りますシフトAから
[00:11:36] 転送用の板を作りますシフトAから メッシュ
[00:11:37] メッシュ プレーンを追加して
[00:11:40] プレーンを追加して 羽の近くに持っていきます
[00:11:41] 羽の近くに持っていきます [音楽]
[00:11:46] [音楽] ぼかして
[00:11:46] ぼかして [音楽]
[00:11:52] [音楽] でこの羽を超簡略化した形みたいなにして
[00:11:56] でこの羽を超簡略化した形みたいなにして あげますね
[00:12:00] この頂点 削除して
[00:12:02] 削除して [音楽]
[00:12:04] [音楽] ちっちゃくしても三角形みたいなやつにし
[00:12:09] ちっちゃくしても三角形みたいなやつにし てあげます
[00:12:10] てあげます ここからウェイトを転送するっていう感じ
[00:12:13] ここからウェイトを転送するっていう感じ ですね
[00:12:16] この板に対して 頂点グループ
[00:12:21] 頂点グループ ですテストと
[00:12:25] ウイングドットLっていう頂点グループを 作って一番
[00:12:31] 作って一番 端っこ
[00:12:32] 端っこ 身体に近い方にチェストのウェイトを1割
[00:12:35] 身体に近い方にチェストのウェイトを1割 あって体から遠い方にウイングドット用の
[00:12:39] あって体から遠い方にウイングドット用の ベイト1割当てでしてあげます
[00:12:42] ベイト1割当てでしてあげます [音楽]
[00:12:45] ウェイトペイントモードで確認すると こんな感じですねで
[00:12:50] こんな感じですねで 羽の方に
[00:12:54] ベイト転送用のデータ トランスファーモニファイヤーを追加して
[00:13:00] 今作った板をソースに選べます で
[00:13:05] で pertexデータにチェック入れるパー
[00:13:08] pertexデータにチェック入れるパー テックスグループをオンにする
[00:13:10] テックスグループをオンにする マッピングはニアレストフェイス
[00:13:12] マッピングはニアレストフェイス インターフェイテッドして
[00:13:15] インターフェイテッドして ジェネレートデータレイヤーズウォッチし
[00:13:16] ジェネレートデータレイヤーズウォッチし ます
[00:13:18] ます ラティスをオフにした状態で作ったので
[00:13:21] ラティスをオフにした状態で作ったので ラティスモディファイアの上に持ってきて
[00:13:23] ラティスモディファイアの上に持ってきて おきますね
[00:13:24] おきますね でさらに
[00:13:26] でさらに アーチャーや追加してママチャを指定する
[00:13:31] アーチャーや追加してママチャを指定する これでもう動くはずなので動かしてみます
[00:13:35] これでもう動くはずなので動かしてみます リングを
[00:13:39] [音楽] ボーンが揺れたら羽もちょっとこういう風
[00:13:44] ボーンが揺れたら羽もちょっとこういう風 に揺れるっていう感じですね
[00:13:47] に揺れるっていう感じですね リングドットLを動かしたらえっと右の羽
[00:13:51] リングドットLを動かしたらえっと右の羽 もくっついて動いちゃってるのでこっちの
[00:13:53] もくっついて動いちゃってるのでこっちの ウエイト転送用の板にミラーモディファイ
[00:13:56] ウエイト転送用の板にミラーモディファイ を追加するのと
[00:13:59] を追加するのと ウィングドットRっていう空の頂点
[00:14:01] ウィングドットRっていう空の頂点 グループも作っておいてあげます
[00:14:04] グループも作っておいてあげます でこっちにもウィングドットRがいるから
[00:14:07] でこっちにもウィングドットRがいるから もう1回ジェネレートデータレイヤーズ
[00:14:09] もう1回ジェネレートデータレイヤーズ ポチってやってあげると
[00:14:12] ポチってやってあげると こっちはこっちこっちはこっちで動いて
[00:14:15] こっちはこっちこっちはこっちで動いて くれるようになりますね
[00:14:18] この板からウエイト転送するののいい ところはベイトを調整する必要があるの
[00:14:24] ところはベイトを調整する必要があるの このもう
[00:14:26] このもう めちゃめちゃ少ない頂点だけで済むって
[00:14:28] めちゃめちゃ少ない頂点だけで済むって いうところですねこれをこう移動するだけ
[00:14:31] いうところですねこれをこう移動するだけ でも変形の感じが変わるのでこれを
[00:14:35] でも変形の感じが変わるのでこれを ちょっと移動して
[00:14:37] ちょっと移動して ウェイト調整することもできるしやっぱり
[00:14:40] ウェイト調整することもできるしやっぱり ウイングドットLにそこまでくっついて
[00:14:42] ウイングドットLにそこまでくっついて 動かなくていいなってなったら
[00:14:45] 動かなくていいなってなったら テストのウェイトも一応割り当てしたりし
[00:14:49] テストのウェイトも一応割り当てしたりし たら
[00:14:52] 50%ずつの感じで動くってことになるの でちょっと動いてるみたいな
[00:15:02] ベイトの調整がものすごく簡単にでき るっていう点がメリットなんじゃないかと
[00:15:06] るっていう点がメリットなんじゃないかと 思います細かくウエイト変え
[00:15:09] 思います細かくウエイト変え るっていうのはやりづらいと思うけど保温
[00:15:11] るっていうのはやりづらいと思うけど保温 で緩やかに変形させる時とかすごく使える
[00:15:14] で緩やかに変形させる時とかすごく使える と思います
[00:15:16] と思います 姉はまばたきでもちょこっと動くようにし
[00:15:18] 姉はまばたきでもちょこっと動くようにし てあげたいのでこんな感じでボーンに
[00:15:20] てあげたいのでこんな感じでボーンに ほんのちょっとくっついて動くみたいな
[00:15:22] ほんのちょっとくっついて動くみたいな 感じにしておこうと思います
[00:15:25] 感じにしておこうと思います 今ここのに頂点は
[00:15:28] 今ここのに頂点は チェスト1
[00:15:29] チェスト1 ウィング1っていうようなウェイトが
[00:15:31] ウィング1っていうようなウェイトが 割り当てられてるのでノーマライズってし
[00:15:34] 割り当てられてるのでノーマライズってし ておきますね
[00:15:35] ておきますね 胸のウェイト点数用の板はF2で名前変え
[00:15:39] 胸のウェイト点数用の板はF2で名前変え て
[00:15:40] て ウェイトトランスファー
[00:15:43] ウェイトトランスファー ウィングとかわかりやすい名前に変えて
[00:15:46] ウィングとかわかりやすい名前に変えて ウェイト転送用のフォルダーコレクション
[00:15:49] ウェイト転送用のフォルダーコレクション に移動しておきます
[00:15:51] に移動しておきます 羽でやったらと同じような感じで前髪とか
[00:15:54] 羽でやったらと同じような感じで前髪とか もやってみようと思いますじゃあ前髪用の
[00:15:58] もやってみようと思いますじゃあ前髪用の ボーンをまず追加しますねうーんこの辺
[00:16:01] ボーンをまず追加しますねうーんこの辺 から生えてたらいいかなみたいなところ
[00:16:04] から生えてたらいいかなみたいなところ 選んでシフトSからカーソル2
[00:16:08] 選んでシフトSからカーソル2 セレクテッドとしておいてあげてから
[00:16:10] セレクテッドとしておいてあげてから アームを選んでシフトAってやると今3D
[00:16:15] アームを選んでシフトAってやると今3D カーソルがあるところに
[00:16:17] カーソルがあるところに ボーンが生えますねこれを下に添えて
[00:16:22] ボーンが生えますねこれを下に添えて 前髪のところに持ってきますこんな感じ
[00:16:27] 前髪のところに持ってきますこんな感じ で
[00:16:27] で ファンクションキーの2番でリネームして
[00:16:30] ファンクションキーの2番でリネームして ヘアーバングっていう名前にしておいて
[00:16:34] ヘアーバングっていう名前にしておいて あげます次はベイト転送用の板を追加し
[00:16:38] あげます次はベイト転送用の板を追加し ますねシフトAからメッシュフレンチ
[00:16:41] ますねシフトAからメッシュフレンチ 引かして
[00:16:42] 引かして [音楽]
[00:16:44] [音楽] RX90で前向かせてSグイっと
[00:16:49] 切削して前髪の近くに持ってきます
[00:16:56] [音楽] ざっくりこんな感じでいいと思うそしたら
[00:17:02] ざっくりこんな感じでいいと思うそしたら 頂点グループを
[00:17:04] 頂点グループを レッドと
[00:17:08] ヘアーバンク今さっき 追加した前髪用のボーンと同じ名前の頂点
[00:17:14] 追加した前髪用のボーンと同じ名前の頂点 グループを作ります
[00:17:17] グループを作ります 編集モードで上側の2点はヘッドに
[00:17:20] 編集モードで上側の2点はヘッドに 割り当て下側の2点は部屋番号にH
[00:17:25] 割り当て下側の2点は部屋番号にH 割り当て
[00:17:26] 割り当て したらの前髪に
[00:17:30] したらの前髪に データトランスファーモディファイを追加
[00:17:32] データトランスファーモディファイを追加 して
[00:17:33] して でソースは今追加した
[00:17:38] でソースは今追加した 板バーテックステーターオンにして
[00:17:41] 板バーテックステーターオンにして バーテックスグループもオンにして
[00:17:42] バーテックスグループもオンにして マッピングにあれですインタープリットと
[00:17:45] マッピングにあれですインタープリットと これも毎回同じ設定ですね
[00:17:50] これも毎回同じ設定ですね したら
[00:17:51] したら この後にアーマーちゃんモディファイヤー
[00:17:53] この後にアーマーちゃんモディファイヤー が来るようにして置いてあげます
[00:17:57] が来るようにして置いてあげます ジェネレートテータレイヤーズもポチって
[00:17:58] ジェネレートテータレイヤーズもポチって しておきます
[00:17:59] しておきます で動かすと
[00:18:01] で動かすと [音楽]
[00:18:03] [音楽] くっついて
[00:18:04] くっついて 緩やかに動いてくれてますね
[00:18:07] 緩やかに動いてくれてますね 割と転送用の板を例えばこういう風にする
[00:18:10] 割と転送用の板を例えばこういう風にする とより上の方もくっついて動くようになる
[00:18:12] とより上の方もくっついて動くようになる しこれ下に下げると下のホースが動かない
[00:18:15] しこれ下に下げると下のホースが動かない 感じになりますね
[00:18:17] 感じになりますね 今回はこんくらいの高さでいいと思うけど
[00:18:21] 今回はこんくらいの高さでいいと思うけど 後で買いたくなったら変えましょうこの板
[00:18:24] 後で買いたくなったら変えましょうこの板 も
[00:18:25] も リネームしておいて
[00:18:28] リネームしておいて [音楽]
[00:18:31] [音楽] ウェイトトランスファー用のコレクション
[00:18:33] ウェイトトランスファー用のコレクション に移動しておきますこのサイドヘアでも
[00:18:36] に移動しておきますこのサイドヘアでも 同じようにやってあげますね
[00:18:38] 同じようにやってあげますね まずはこの辺から防音追加しようかなって
[00:18:42] まずはこの辺から防音追加しようかなって いうところにカーソル持ってきて
[00:18:44] いうところにカーソル持ってきて [音楽]
[00:18:47] [音楽] アマチュアを選んで
[00:18:49] アマチュアを選んで 編集モードでシフトへで新しい本作る
[00:18:53] 編集モードでシフトへで新しい本作る 下に下げて
[00:18:57] 先の近くまで持ってきておけばいいかな こんな感じかな保温目はこれもまあ前髪
[00:19:04] こんな感じかな保温目はこれもまあ前髪 みたいなものだからフェアバンク
[00:19:07] みたいなものだからフェアバンク Lとかにしておこうかな
[00:19:09] Lとかにしておこうかな こっちを
[00:19:12] こっちを ドットCセンターのシーンにしておいて
[00:19:17] ドットCセンターのシーンにしておいて lcrみたいな名前にしようかなと思い
[00:19:20] lcrみたいな名前にしようかなと思い ます
[00:19:22] ます ウェルにしたらオブジェクトモードで
[00:19:24] ウェルにしたらオブジェクトモードで シフトAでスプレーン追加して
[00:19:27] シフトAでスプレーン追加して メッシュモードで
[00:19:30] メッシュモードで このサイドの前髪に沿ったような形にして
[00:19:34] このサイドの前髪に沿ったような形にして あげます
[00:19:35] あげます [音楽]
[00:19:36] [音楽] 超ざっくりでも構わないっていうのもいい
[00:19:39] 超ざっくりでも構わないっていうのもいい ところだなと思いますね
[00:19:42] ところだなと思いますね [音楽]
[00:19:44] [音楽] まあスナップ使った方が楽なのでスナップ
[00:19:47] まあスナップ使った方が楽なのでスナップ しますけれども
[00:19:50] しますけれども ここはそうだなぁもう麻雀しちゃっても
[00:19:52] ここはそうだなぁもう麻雀しちゃっても いいか
[00:19:55] [音楽] 見えないけどこんな感じの三角の板作って
[00:19:59] 見えないけどこんな感じの三角の板作って みました
[00:20:01] みました ランコントロールAオール
[00:20:03] ランコントロールAオール トランスフォームでトランスフォーム
[00:20:06] トランスフォームでトランスフォーム 適用しておきます
[00:20:07] 適用しておきます [音楽]
[00:20:09] [音楽] それにも
[00:20:14] ヘッドの頂点グループと ヘアバングルと
[00:20:22] ヘアバングルと 左右対称でやりたいのでヘアバング
[00:20:26] 左右対称でやりたいのでヘアバング Rも作っておきます
[00:20:28] Rも作っておきます 上の2点はヘッドのウェイト1割あって下
[00:20:33] 上の2点はヘッドのウェイト1割あって下 の1点はヘアバンクの
[00:20:35] の1点はヘアバンクの ウェイトを1割り当てします
[00:20:39] ウェイトを1割り当てします でミラーモリファイを追加しますね
[00:20:43] でミラーモリファイを追加しますね で今度は前髪本体の方を選んでデータ
[00:20:47] で今度は前髪本体の方を選んでデータ トランスファーマリファイア
[00:20:49] トランスファーマリファイア 追加してこれは名前がフレンドと00なの
[00:20:52] 追加してこれは名前がフレンドと00なの かちょっと選び
[00:20:53] かちょっと選び 辛そうなのでソースは手動で
[00:20:57] 辛そうなのでソースは手動で ブレンドと007選んであげて頂点データ
[00:21:07] オンアテックスグループスオンフェイス インターポリテッドで
[00:21:10] インターポリテッドで ジェネレッドデータレイヤーズってやって
[00:21:12] ジェネレッドデータレイヤーズってやって アーチャーマディファイヤーの1個上に
[00:21:15] アーチャーマディファイヤーの1個上に 持ってきます
[00:21:17] 持ってきます これで棒を動かしてみるともう
[00:21:20] これで棒を動かしてみるともう くっついて動いてますね
[00:21:22] くっついて動いてますね 反対側のも
[00:21:23] 反対側のも 編集モードでシンメトライズして作って
[00:21:26] 編集モードでシンメトライズして作って あげます
[00:21:27] あげます こっちこんくらい動いてこっちも
[00:21:31] こっちこんくらい動いてこっちも まあまあいい感じに動いてますね
[00:21:35] まあまあいい感じに動いてますね [音楽]
[00:21:40] [音楽] 新しいボーン追加した時にはまたこの
[00:21:43] 新しいボーン追加した時にはまたこの パッチン留めとか
[00:21:45] パッチン留めとか にもこのヘアバンクの頂点グループが必要
[00:21:49] にもこのヘアバンクの頂点グループが必要 になるので
[00:21:51] になるので ジェネレートデータレイヤーズってやっ
[00:21:52] ジェネレートデータレイヤーズってやっ たらくっついて動いてくれます
[00:21:54] たらくっついて動いてくれます [音楽]
[00:21:58] パッチン留めは若干形崩れてるけどそこ まで気にならないのでこれはこれでいいん
[00:22:04] まで気にならないのでこれはこれでいいん じゃないかなと思います
[00:22:06] じゃないかなと思います 前髪のセンターのところの防音は名前変え
