[00:00:00] では続いて体の方もサブスタンスで塗って
[00:04:10] 読み込みます
[00:04:11] [音楽]
[00:04:13] これで再度ベイクし直してみますねの
[00:04:16] テクスチャセットセッティングスの下の方
[00:04:18] のメイクメッシュマップスを開いてその
[00:04:22] まま
[00:04:22] ピークってしてあげます
[00:04:26] これさっきここにかぶってた
[00:04:28] 斜めの線とかを解消されましたねBキーで
[00:04:32] メイクしたマップをポイポイと変えてみて
[00:04:36] ワールドスペースノーマルとかでも確認し
[00:04:39] てみます
[00:04:40] UVの重なりがあったりするとこの
[00:04:43] ワールドスペースノーマルっていうので
[00:04:45] すごく分かりやすいのでグルグルいろんな
[00:04:47] 方向から
[00:04:49] 眺めて確認してみますここ
[00:04:52] 貫通してるの気になるのでまたブレンダー
[00:04:54] に戻って直してあげ
[00:04:55] [音楽]
[00:05:04] もう1回ベイクし直しましたとりあえず
[00:05:07] これで大丈夫そうですね
[00:05:11] 512とか小さい画像サイズでベイク確認
[00:05:15] したら今度は大きいサイズでベイクします
[00:05:19] 4096とか行ってみる行ってみちゃおっ
[00:05:23] か
[00:05:24] ノーマルとIDはいらないからこれ外して
[00:05:27] おいて
[00:05:28] あとアンチエイリアシングのところはサブ
[00:05:32] サンプリング4かけ4にしておきます
[00:05:35] ちなみにテクスチャセットごとインナー
[00:05:38] だけとかアウターだけとかやりたい時には
[00:05:41] 左上のSelectionっていうところ
[00:05:43] でここにチェック入れてあげたら大丈夫
[00:05:45] ですねではここも戻って設定大丈夫そうな
[00:05:49] のであと
[00:05:51] 待ちます
[00:05:52] [音楽]
[00:05:55] メイクできましたねこのオブジェクト同士
[00:06:00] を被らないように配置した状態でベイクが
[00:06:02] できましたらまたブレンダーに戻って
[00:06:06] 今度はこのくっついてる状態の方を
[00:06:10] サイドエクスポートしますもうバラバラの
[00:06:12] 状態で塗っても全然いいんですけどなんと
[00:06:15] なく配置関係分かりづらくて塗りづらい
[00:06:18] じゃないですかなのでこちらを
[00:06:21] エクスポートしてもう一度読み込むと
[00:06:23] 今さっきベイクしたテクスチャーを使って
[00:06:25] くれるっていう感じですね
[00:06:29] コンフィギュレーションから
[00:06:31] もう一度FBXを読み込んでそうすると
[00:06:35] さっきのバラバラの状態でベイクした結果
[00:06:38] をそのまま使えるって感じですねあとは顔
[00:06:42] とか紙でやったのと同じようにベタ塗り
[00:06:45] レイヤーとマスクを作ってそこに塗ってい
[00:06:48] くっていう感じなんですけれどもイラスト
[00:06:50] 長っぽいモデルでも使えそうな
[00:06:54] ジェネレーターとかフィルターについて
[00:06:56] 最初にご紹介してみようと思います
[00:06:59] [音楽]
[00:07:01] ベースカラー表示にしてアウターに
[00:07:05] 適当な色
[00:07:06] のフィルレイヤーを追加しますもう
[00:07:10] ちょっと水色っぽい感じでいい感じ
[00:07:13] その上にもうちょっと暗い色のものを持っ
[00:07:16] てきて
[00:07:18] 黒のマスクとアド
[00:07:21] ジェネレーターからジェネレーター追加し
[00:07:23] ます例えば
[00:07:25] 影としてアンビエントオクルージョンは
[00:07:27] 使いやすいかと思います
[00:07:29] 帝王で暗くなってるところがこの
[00:07:31] 影っぽい色になって欲しいのでグローバル
[00:07:34] インバートのところTRUEにしてあげて
[00:07:37] グローバルバランスをいじったりとか
[00:07:39] グローバルブラとかもうちょっと
[00:07:42] 暗い色にしないと分かりづらいこんな感じ
[00:07:44] ここのバランスいじったりとか
[00:07:47] ブラーの
[00:07:48] 値いじったりとか
[00:07:51] コントラストいじったりとかっていうので
[00:07:54] 手軽に影っぽい表現はやりやすいかと思い
[00:07:57] ますこんなに
[00:08:00] 濃くなくていいと思うけど女とか
[00:08:02] AOだけじゃないけど全般でサブスタンス
[00:08:05] 気をつけた方がいいのはこの
[00:08:08] ブラーっていうのが3D空間じゃなくて2
[00:08:11] Dの画像に対してブラーがかかるので
[00:08:14] ブラーをこうガーって上げていくとここに
[00:08:17] CM入れてたのでCMのところでブラが
[00:08:20] 途切れちゃうんですねなのでそこは気を
[00:08:22] つけた方がいいと思います裏かけすぎない
[00:08:25] ようにするみたいなAOで
[00:08:28] 影を表現するのすごい楽チンなんですけど
[00:08:30] あんまりツーリっぽくないというか3D
[00:08:34] っぽい感じになっちゃうのであんまり
[00:08:37] 目立つところには私は使わないかな
[00:08:41] あとは他に使える
[00:08:43] ジェネレーターで言うと
[00:08:47] ライトとか
[00:08:48] ライトっていうやつはこう一方向から光が
[00:08:52] こう当たったような感じになるやつですね
[00:08:54] この辺でアングルとか変えたりできるん
[00:08:57] ですけれども
[00:08:59] 前の方からとか後ろの方からとか
[00:09:02] [音楽]
[00:09:06] それで元の色よりちょっと明るい色にし
[00:09:09] たりして
[00:09:10] スクリーンとかにしてあげるとこう前の方
[00:09:13] から明るく
[00:09:15] 照らされてる感じとかそういうのも
[00:09:17] イラストである表現だと思うのでライトの
[00:09:21] ジェネレーターも使えるかなと思います
[00:09:23] ライトとちょっと似てるんですけど
[00:09:26] ワールドスペースノーマルっていうのも
[00:09:29] 一定の方向を向いた
[00:09:32] 面だけマスクを通してくれるみたいなもの
[00:09:34] なのでこれだとこの全体の上向いたところ
[00:09:38] だけをマスク通してくれてますねなので
[00:09:43] なんていうかキューブっぽいものの上の方
[00:09:46] って明るくなってたりするじゃないですか
[00:09:48] それと同じような表現とかができるんじゃ
[00:09:51] ないかなと思います上の方から光が当たっ
[00:09:54] てるような表現とかワールドスペース
[00:09:57] ノーマルのパラメータのところで
[00:09:59] Lightto
[00:10:00] leftとか
[00:10:02] Toptoボトムとかフロントトゥとかで
[00:10:06] どっち側の向きからの色を通すかみたいな
[00:10:10] のも調整できますね
[00:10:12] [音楽]
[00:10:15] 紙の時にも使いますけど
[00:10:17] UVボーダーを使うと
[00:10:20] のシームの切れ目のところで色を通して
[00:10:24] くれるので
[00:10:25] 服のつなぎ目の所って結構こういう表現
[00:10:28] あると思うんですよね
[00:10:31] なのでUVボーダーとか使って手っ取り
[00:10:33] 早くやってもいいんじゃないかなと思い
[00:10:35] ますうっすら線入ってるみたいな
[00:10:38] リアル調の絵柄とかだとそんな風に線入っ
[00:10:41] てたりもしますよね
[00:10:43] UVウォーターで
[00:10:45] ざっくり線を引いてあげてこの辺のいら
[00:10:47] ないところだけさらに
[00:10:50] 追加したペイントレイヤーに書き込むとか
[00:10:52] もいいと思います
[00:10:54] 場合によっては使えるんじゃないかなって
[00:10:56] いうのがオートスティッチっていうやつ
[00:10:59] ですねこの
[00:11:01] UVボーダーに近いんですけど
[00:11:03] UVの
[00:11:04] 切れ目のすぐ近くにこういう風に
[00:11:07] 縫い目みたいなのを作ってくれる
[00:11:10] ジェネレーターですでも絶妙に痒いところ
[00:11:13] に手が届かないので実際に使ったことは1
[00:11:16] 回もないんですけれども場合によっては
[00:11:19] 使えるかなと思いますあとは
[00:11:21] グラデーションの表現で3D
[00:11:23] ディスタンスとか3D
[00:11:25] リニアグラディエントとかポジションとか
[00:11:27] も使えるんじゃないかなと思います顔は茶
[00:11:30] とかも
[00:11:31] [音楽]
[00:11:34] 端っこですね端っこぽい
[00:11:37] 尖ったっぽいところに色をのせてくれるの
[00:11:39] でそういうところに色をのせたい時には
[00:11:42] かぼちゃとかもワンちゃん使えるんじゃ
[00:11:44] ないかなという感じですあとはフィルター
[00:11:47] ですね例えば今もうだいたいかけたんだ
[00:11:51] けどさらにこれ全体の色味を調整したい
[00:11:54] みたいな時もありますよねそういう時には
[00:11:58] 1個のレイヤーを追加してこれに対して
[00:12:02] フィルターを追加します
[00:12:04] このフィルターの中にhsl
[00:12:07] パースペクティブとかこれ
[00:12:09] サチュレーションとか変えられるんです
[00:12:11] けれどもここのこのレイヤーのブレンド
[00:12:15] モードノーマルってなってるところパス
[00:12:17] するようにしてあげてください
[00:12:19] スルーってしてあげるとこの
[00:12:22] フィルターの効果が目に見えると思います
[00:12:26] ここでサチュレーション変えたりとか日を
[00:12:28] 変えたりということもできますねあとは
[00:12:31] コントラストとか
[00:12:34] グラディエントとかがあと処理で使い
[00:12:36] やすいかなと思います今紹介した
[00:12:40] ジェネレーターとかフィルターは
[00:12:42] 適宜使うとしてまずはパーツごとに色の
[00:12:46] 塗り分けからやっていこうと思います
[00:12:49] [音楽]
