[00:00:00] には体のUV展開をやっていこうと思い
[00:02:28] 面を張っていきましょうかALTクリック
[00:02:30] シフトールとクリックで
[00:02:32] 外側のループと違うのループ選択して右
[00:02:36] クリックのループツールズ
[00:02:38] ブリッジで目を貼ってあげますこれで
[00:02:41] 厚み出しつつ内側に蓋をしてあげられたか
[00:02:44] なと思います
[00:02:46] そしたら今度は体のこの隠れる部分を消し
[00:02:50] ていこうと思います一旦もう
[00:02:53] 服で完全に隠れてそうなところボーダーの
[00:02:56] 部分を
[00:02:57] [音楽]
[00:02:59] スチーム入れてあげて
[00:03:02] ここから
[00:03:04] [音楽]
[00:03:05] ここかな音をこのループ
[00:03:11] 入れてあげて
[00:03:15] 今Lで選択してるこの部分はどこからも
[00:03:18] 見えてないところですよねこの部分はPで
[00:03:22] 分離して
[00:03:24] 別フォルダに移動しておきますあとはこの
[00:03:28] ドロワーズに隠れる部分も消してあげます
[00:03:30] ね
[00:03:32] この辺はまだちょっと見えそうだからこの
[00:03:35] 辺にCM入れてここもですねここにも
[00:03:40] 縮み入れてあげて
[00:03:43] このパンツで隠れてそうな部分を
[00:03:47] Pで分離して
[00:03:50] 別フォルダに移動します
[00:03:53] これで体はこんな感じになりますね
[00:03:57] 靴で隠れる部分も消してあげよう
[00:04:02] ここも見えなそうなのでCM入れて
[00:04:07] ここも穴で埋まってる部分だからシーム
[00:04:10] 入れて
[00:04:12] Bで分離して
[00:04:15] フォルダに移動しておきます
[00:04:18] これで体はこんな感じになりましたもし
[00:04:21] 後々服の着せ替えとかしたいって思って
[00:04:24] たら今のこの工程はスキップして
[00:04:27] 肌全体的に塗ってから最終的にこの服は
[00:04:31] この部分は
[00:04:32] 湿気そうとかそういう感じでもいいと思い
[00:04:34] ます
[00:04:35] お腹のここ空いてるところはスナップで
[00:04:38] ピッチしておきますねワンピースでやった
[00:04:42] のと同じようにやっぱり両面表示の
[00:04:45] シェーダー使わないとしてドローアースに
[00:04:48] も厚みを同じやり方でつけてあげようと
[00:04:50] 思いますそれでファイルのモディファイを
[00:04:54] 追加して
[00:04:55] 厚みは0.01とかでいいかな
[00:05:00] ねリムのフィルのチェック外して
[00:05:05] ミラーのすぐ下にもリファイア持ってくる
[00:05:08] で
[00:05:09] コントロールAコントロールAで
[00:05:13] モディファイアを適用して
[00:05:15] ミラーモディファイアと
[00:05:17] ソリティファイマディファイを適用したら
[00:05:18] もう一度オートミラーでミラモリファイア
[00:05:22] を追加しておきますそしたらこれにも蓋を
[00:05:25] 作ってあげたいんだけどまずはエルキーで
[00:05:28] 内側の面だけ選択してシフトhで表示して
[00:05:33] から
[00:05:34] 上の方の面
[00:05:36] [音楽]
[00:05:39] 選択してこの辺りで
[00:05:42] 倒してあげようと思うので今
[00:05:45] 選択して上の方は
[00:05:47] Xキーでフェイスを削除します
[00:05:49] [音楽]
[00:05:51] でここに面張ってアイデンセットしてMで
[00:05:55] 回ししてからちょっと上に上げておきます
[00:05:58] ね
[00:06:00] ポルトエイチでその他の部分再表示すると
[00:06:03] こんな感じですこの部分だけ
[00:06:07] 厚みつきつつこの高さで蓋をしてるって
[00:06:10] 感じです
[00:06:14] ここにもループツールズでの
[00:06:18] ブリッジで
[00:06:18] [音楽]
[00:06:21] 根を張っておいてあげますねツイスト
[00:06:23] いじって
[00:06:25] この近いところつないでくれるようにして
[00:06:28] もらってください
[00:06:30] 見つけたり不要なメッシュを削除したりと
[00:06:33] いう
[00:06:34] UV展開前の準備ができたのでここから
[00:06:37] UV展開していこうと思います
[00:06:40] Zキーでマテリアルプレビューに移動して
[00:06:43] 上にも新しいマテリアルインナーとかご
[00:06:47] 自身が分かりやすいマテリアル名つけて
[00:06:50] あげて
[00:06:52] この紙のマテリアルの設定コピーして
[00:06:55] あげようかなドラッグで選んで
[00:06:57] コントロールCしてこのインナーの
[00:07:00] マテリアルでコントロールVしてあげて
[00:07:03] カラーにつないであげればこれで一応
[00:07:06] チェッカーは見えるようになりますね
[00:07:08] ラッシーも入れて展開していこうと思い
[00:07:11] ます
[00:07:13] 腕は
[00:07:14] [音楽]
[00:07:16] この下のラインでコントロール入れマーク
[00:07:19] シームして足は足の内側のところ
[00:07:24] [音楽]
[00:07:32] マークしちゃいまして
[00:07:35] 足先は表側と裏側を分けるような感じで
[00:07:39] [音楽]
[00:07:49] これで
[00:07:51] マークシームってしてあげたらいいかな
[00:07:53] [音楽]
[00:07:54] 肌に関しては左右でUVを重ねるかどうか
[00:07:57] 迷うんですけど
[00:07:58] [音楽]
[00:08:00] 大変しやすさとかを考えたら重ねない方が
[00:08:03] いいけどととたんはもうそのまま左右で
[00:08:07] 塗りが同じになってるっぽいので
[00:08:10] UVを左右で重ねようと思いますそれ考え
[00:08:14] た上で
[00:08:14] [音楽]
[00:08:16] チームはこれくらいでいいとして
[00:08:17] [音楽]
[00:08:19] Uでアンラップしてあげます足先
[00:08:24] お腹
[00:08:25] 首
[00:08:26] 腕っていう感じですね
[00:08:28] 後で綺麗に並べるとして
[00:08:31] 面会自体はこんな感じでいいと思います
[00:08:33] じゃあ次手も同じようにやってあげたいの
[00:08:36] で
[00:08:37] インナーのマテリアルつけてあげてでも表
[00:08:42] と裏を分けるような感じで
[00:08:47] チーム入れてあげたらいいかなと思います
[00:08:49] もう一部三角化しているのでとろっと
[00:08:52] ALTクリックできないけどシフト
[00:08:56] 折るとクリックしていたらいいと思います
[00:08:59] [音楽]
[00:09:18] 寝る前選択して
[00:09:21] Uで展開
[00:09:22] ん一部変になってるよなこれここにシーム
[00:09:28] 入れ忘れてましたねDVD入れてもう1回
[00:09:32] 展開
[00:09:34] こんな感じでいいかな次が
[00:09:37] 服ですね
[00:09:39] 奥にも同じマテリアルでやってておいて
[00:09:43] の服の内側と外側を分けるような
[00:09:47] エッジのところに
[00:09:51] チームを入れてあげます
[00:09:57] [音楽]
[00:10:01] ここにも内側と外側を開けるようなところ
[00:10:04] に
[00:10:05] 僕の厚みここまでなくてもいい気がする
[00:10:08] からコントロールとクリックでエッジ
[00:10:11] リング選択して
[00:10:14] ピボットポイントでインディビジュアル
[00:10:16] 折り線図にしてSでちっちゃくして
[00:10:18] ちょっと厚み薄くしておきます
[00:10:20] こんな感じでいいかな
[00:10:24] 首元のところも外側と内側を綺麗なところ
[00:10:29] に新芽入れてあげます
[00:10:31] これで一度展開してみましょう
[00:10:34] [音楽]
[00:10:36] そのまま展開するとこんな感じですね
[00:10:40] 前後ろを分けるようなシームも入れてみ
[00:10:43] ましょうかこの辺り
[00:10:46] ここから
[00:10:49] を
[00:10:50] 紐入れて
[00:10:51] [音楽]
[00:11:00] おっからここにもシーム入れて
[00:11:04] やると前だけ選択できますねこれで展開し
[00:11:08] てみるとどうかなあまり印象変わらない
[00:11:12] かこの裾のところを見てみるとわーって
[00:11:16] 無駄に広がってる感じがするんですけど
[00:11:18] ここに厚みをつけた分その中
[00:11:23] 歪みをなくそうとしてボァーって広がっ
[00:11:25] てる感じがするんですね実際この厚み部分
[00:11:28] とかそんなに塗ったりしないし
[00:11:30] 歪みはあまり気にしなくていいと思うので
[00:11:34] 厚みによって歪んじゃうみたいな時はです
[00:11:37] ねという風に
[00:11:40] 一旦厚みも含めて選択した後に
[00:11:42] コントロールとテンキーのマイナスで
[00:11:46] 厚み分
[00:11:47] 選択範囲を縮小してあげてこことかも厚み
[00:11:51] がないですよね内部洗濯してあげてって
[00:11:54] 一旦牛で展開しますそうすると割と綺麗な
[00:11:59] 形さっきみたいにうわーって裾が広がった
[00:12:02] 感じになってないですよねこの状態で一旦
[00:12:06] Pでピン留めしてからもう一度
[00:12:09] コントロール
[00:12:11] Lってやってあげると
[00:12:13] 選択してる範囲に繋がってる部分が選択
[00:12:15] できるのでコントロールで
[00:12:19] 厚みも含めて選択してあげて
[00:12:21] Uで前回消してあげると
[00:12:25] こんな感じですでにピン留めしたやつに
[00:12:28] 厚みついたらどんな感じになるかなーって
[00:12:30] いうの
[00:12:32] を計算していい感じに展開してくれます
[00:12:35] なんか一部繋がってないところがあるけど
[00:12:39] 裏直してあげる
[00:12:41] 手動で動かしてあげて
[00:12:45] シフトタブでスナップオンにしてビット
[00:12:48] つけてあげます
[00:12:51] ここもくっついてないじゃん
[00:12:56] このくっついてない
[00:13:00] [音楽]
[00:13:02] ワンピースに関しては左右非対称の柄が
[00:13:06] ついてるので左右でUVを重ねないとして
[00:13:09] ミラーモディファイアのミラーUに
[00:13:12] チェック入れておきます前側の部分は
[00:13:15] 真ん中でピッとくっついたような形に展開
[00:13:18] してあげようと思いますそれじゃあまだ
[00:13:21] 帰ったこっちを設定
[00:13:26] 手動でだいたい真ん中から辺まで持ってき
[00:13:29] てから
[00:13:31] ピボットポイント2Dカーソルにするのと
[00:13:36] ビューのメニューの中
[00:13:38] イメージツールビューのメニューの中の
[00:13:40] 追加数でロケーションXが0.5になっ
[00:13:42] てること確認しての真ん中のところ選んで
[00:13:46] SX0ってやって真ん中でくっつけてあげ
[00:13:48] ます
[00:13:54] あとまだ綺麗にしてないところは内側の
[00:13:58] 部分ですねこれが首元のやつ
[00:14:01] [音楽]
[00:14:04] こっち側のやつは全部S0.5で半分
[00:14:08] くらいのサイズにしておきます
[00:14:10] [音楽]
[00:14:15] もう蓋部分とかかなりちっちゃくしても
[00:14:19] いいかもしれない音の見えないところだし
[00:14:22] [音楽]
[00:14:30] 他に埋めたいパーツもあるので一旦こんな
[00:14:33] 感じで放置しておきます
[00:14:36] 次はドロワーズやってあげますね
[00:14:39] 拾わずにも同じマテリアル割り当て
[00:14:43] ダメージづらいからミラーオフするんです
[00:14:46] けど
[00:14:48] この足の内側の部分を
[00:14:54] チーム入れてあげて
[00:14:57] 外側にも
[00:15:00] 眠れてあげたらいいかな
[00:15:03] ご調整選択してコントロールクリックで
[00:15:05] 最短距離で
[00:15:07] [音楽]
[00:15:09] 焦点を選択することはできますあと
[00:15:12] 服の内側と外側を分けるループもシームを
[00:15:16] 入れてそれで一度外側展開してみましょう
[00:15:20] かで展開と
[00:15:23] これもさっきと同じで多分
[00:15:26] 厚みつけてる分裾が広がってるので
[00:15:28] [音楽]
[00:15:30] 弾コントロールと天気のマイナスで
[00:15:33] この厚みの分を
[00:15:34] 選択範囲縮小してあげて
[00:15:37] Uで展開してから
[00:15:41] UVエディターの方でピン留めしてでもう
[00:15:44] 一度コントロールLでつながってる部分を
[00:15:47] 選択して
[00:15:48] Uでもう一度展開するともういい感じに
[00:15:52] あんまり
[00:15:54] 厚み以外が歪まず部分も展開してくれまし
[00:15:58] たね
[00:16:00] いいのでは
[00:16:03] 内側は蓋の境目のところに
[00:16:07] GM入れて
[00:16:12] フラワー蓋だけ点火してちっちゃくして
[00:16:15] おき
[00:16:17] どこの厚み部分ですね
[00:16:20] 譜面部分は外側と同じ位置にシーム入れて
[00:16:24] あげましょうかここからここで
[00:16:27] マークシーム
[00:16:29] あとはここからここで
[00:16:34] マークシーム
[00:16:38] レージ展開してあげるとこんな感じですね
[00:16:41] まあこんなもんかなっていう感じがします
[00:16:45] ね今パーツごとにバラバラに添加したUV
[00:16:49] は
[00:16:50] UVのメニューの中のオベレージ
[00:16:53] アイランドスケールっていうのやってあげ
[00:16:55] たら実際の3D空間上での大きさを考慮し
[00:17:00] たUVの大きさになってくれます
[00:17:03] その上でえーっとバックアイランズとかっ
[00:17:07] てやってあげたらここに
[00:17:09] ぴったり収まるくらいに
[00:17:11] 展開してくれますね内側です
[00:17:15] 0.5
[00:17:17] 思うくらいの大きさにしておきます
[00:17:20] これも他のパーツと
[00:17:23] 合わせて綺麗に並べてあげるとして一旦
[00:17:25] こんな感じでポイっととか
[00:17:28] 邪魔にならないところに置いておき
[00:17:31] トロワースも左右非対称の
[00:17:34] 影を塗ったりするかなと思うのでこれも
[00:17:37] ミラーUにチェック入れておきます
[00:17:41] ワンピースとドロワー数を展開したところ
[00:17:44] でまだこの四角内に綺麗に収まるように
[00:17:47] パズルしてないところなんですけど
[00:17:50] 靴も同じテクスチャーに
[00:17:54] 収めるとして靴もUV展開しておこうと
[00:17:56] 思いますまずは同じマテリアルインナーと
[00:18:00] 同じマテリアルを割り当てておいて
[00:18:04] 靴底の上と下を分けるようなところに
[00:18:07] チーム入れてきますね
[00:18:13] マークスイム
[00:18:14] ポレットビューに移動した方が見やすいと
[00:18:18] 思うのでソリッド系に移動します
[00:18:20] [音楽]
[00:18:22] これで
[00:18:25] マークシーム
[00:18:25] [音楽]
[00:18:27] これはぐるっと一周した形になってるので
[00:18:30] 後ろでいいかないろんなところにも
[00:18:33] マークスイムでしてあげたら
[00:18:36] 靴底はこれで展開できると思います
[00:18:40] めちゃくちゃ綺麗なまっすぐクッキーに
[00:18:42] なってくれてるよし
[00:18:47] このペンギンの羽の部分は表と裏を開ける
[00:18:51] ような感じで
[00:18:53] チーム入れてあげて
[00:18:56] 点火してみるとどうかなうん悪くなさそう
[00:19:00] な感じですね
[00:19:03] ここにも表と裏を分けるようなところに
[00:19:07] CV入れて
[00:19:09] 内側だけ展開するとこんな感じ
[00:19:12] [音楽]
[00:19:14] かここにもCM入れてあげてもいいかも
[00:19:17] マークシーム
[00:19:20] こっちの方はちょっと綺麗に展開できませ
[00:19:23] んよね
[00:19:23] [音楽]
[00:19:26] これ自体は結構ちっちゃくていいと思う
[00:19:28] ほぼ見えないところだし
[00:19:31] あとは
[00:19:33] ここにも表と裏をかけるようなシーム入れ
[00:19:37] て
[00:19:39] ここにもシーム入れて
[00:19:41] [音楽]
[00:19:44] 棒にも入れて
[00:19:47] あとはここからここ後ろのラインに1個
[00:19:51] シーム入れ
[00:19:54] これでまあまあ
[00:19:57] 展開できてるかな
[00:19:58] これこっからここ後ろの1ラインにセーブ
[00:20:04] 入れてあげたら
[00:20:07] 限界できますね
[00:20:10] あとこのポンポンみたいなやつは
[00:20:14] 前後を分けるようなシーム入れてあげたら
[00:20:16] いいかな
[00:20:18] これで全体もう一度展開し直すとこんな
[00:20:22] 感じですね
[00:20:24] まっすぐできるところはしておいた方が
[00:20:26] 塗りやすかったり
[00:20:28] [音楽]
[00:20:29] UVに収まりも良かったりするので家系化
[00:20:32] できそうなところはしておこうと思います
[00:20:34] 例えばこれとか全部四角形だし
[00:20:38] x-TOOLSのレクティファイっていう
[00:20:40] ところポチッとしてまっすぐしてあげます
[00:20:43] [音楽]
[00:20:47] あとはこれだと一部三角化されてるんです
[00:20:51] けど例えばここここっていう感じで
[00:20:57] 四角形にできそうなところだけ選んで
[00:20:59] レクティファイして
[00:21:04] ピン留めする
[00:21:05] ここも
[00:21:08] イコールとクリックでループ選択してから
[00:21:10] コントロールとテンキーのプラスで
[00:21:13] 範囲拡大して
[00:21:15] レクティファイするでこれとこれが同じ幅
[00:21:19] になってほしいから目視でSYで
[00:21:26] こんなもんかな
[00:21:29] だいたい合わせたら
[00:21:31] このグリーンってなってるやつが入る分
[00:21:34] くらい幅を開けておいてPでピン留めして
[00:21:38] さっきまっすぐにしたやつもピン留めして
[00:21:40] おきますねこの状態でもう一度アンラップ
[00:21:44] してみると
[00:21:45] ここ結構綺麗な形になったのではなかろう
[00:21:49] か
[00:21:51] めんどくさいけどこういうところも
[00:21:52] まっすぐにできそうなところとかは私は
[00:21:55] 結構まっすぐにしますね
[00:21:57] [音楽]
[00:21:59] この上に合わせるっていう
[00:22:02] Xストレスの機能を使ったりSY0でy軸
[00:22:05] 方向に
[00:22:06] [音楽]
[00:22:07] 列揃えるっていうようなやり方でもいいと
[00:22:09] 思います1個ちょっと選んでコントロール
[00:22:12] クリックで選んで
[00:22:15] これもまっすぐにできそうなので
[00:22:17] リクティファイしておきますそしたら
[00:22:20] ピン留めして今レクティファイとか色々
[00:22:23] やってるうちに島の大きさが多分変わった
[00:22:25] ので
[00:22:26] UVのメニューの中のアベレージ
[00:22:28] アイランドスケールでスケールの大きさを
[00:22:30] だいたい全体で合わせておきます
[00:22:34] チェッカーでも確認しこの裏地に当たる
[00:22:37] 部分あんまり見えない部分は他よりUV
[00:22:41] 試着しちゃってていいと思うので
[00:22:45] S0点をちっちゃくしておきますあとは
[00:22:50] ここかなこことここS
[00:22:54] 0.5あとここもかな
[00:22:58] S0.5
[00:23:00] これであんまり
[00:23:02] 解像度いらなそうなところちっちゃくでき
[00:23:04] たと思うのでこれしたら
[00:23:07] UVのバックアイランズ
[00:23:11] 牛乳のやってあげると全体キュッと
[00:23:14] 収まるくらいの大きさにしてくれます今
[00:23:16] みちみつに詰まってるから
[00:23:20] 0点で1とかこの左下のところで
[00:23:24] 麻雀って言って幅を変えてあげることは
[00:23:26] できます
[00:23:27] 0.05
[00:23:28] このくらいでいいかな今日は自分が塗り
[00:23:33] やすいように
[00:23:34] 仲間同士くっつけておきますあと向きも
[00:23:37] ちょっと変えておく
[00:23:40] 横の羽同士だから
[00:23:43] 隣並べておいて
[00:23:46] これも横の羽の裏側ですよね
[00:23:49] [音楽]
[00:24:17] 自分が乗りやすいかなっていう方向に
[00:24:20] とりあえず並べ替えておきますまた他の
[00:24:23] アイテムと
[00:24:24] 結局パズルするからまたその時にも
[00:24:27] 並べ替えするかもしれないですけどその
[00:24:30] UVはこんな感じで
[00:24:32] 言ってなかったけど普通は左右対称で塗っ
[00:24:36] ても問題なさそうなのでこんな感じでいい
[00:24:39] かなと思います
[00:24:40] ここに
[00:24:42] 黄色いラインがあるのでライン書きやすい
[00:24:45] ようにここに
[00:24:47] ループ追加しておきますねコントロールR
[00:24:49] で1回クリックしてからいいを押して
[00:24:53] で平行なループ作るんですけど
[00:24:56] 今上に平行になってるからFでこっち向き
[00:25:02] 向きを反転させて
[00:25:05] 幅的にはこんな感じでいいかなうん今で
[00:25:09] いいんじゃないかと思います今追加した
[00:25:12] ループが多分これかこれこれか
[00:25:15] ここにもCM入れておいてもいいかもです
[00:25:18] ねコントロール今してあげて
[00:25:23] Lでその相当する部分を選択してCXで
[00:25:27] ちょっとずらすしてあげるとここに幅が
[00:25:30] 開いて別の島みたいになってくれましたね
[00:25:34] [音楽]
[00:25:37] UVをこういう単位で分けるっていうのは
[00:25:40] 最初にお話ししたと思うんですけど
[00:25:43] 3D空間上でどう分かれてるのかっていう
[00:25:46] のがすごくわかりづらいのでその見分けが
[00:25:49] つきやすくなるようにちょっと工夫して
[00:25:51] みようと思います
[00:25:54] まずはシェーダーエディターの方でシフト
[00:25:57] Aからテクスチャー
[00:25:59] イメージテクスチャを追加してNewから
[00:26:02] 新しい
[00:26:05] 画像を生成するんですけど2048
[00:26:09] ×2048とかでいいと思うで
[00:26:12] ジェネレートタイプっていうのを
[00:26:14] UVグリッド
[00:26:15] にしてからベクターをベクターカラーを
[00:26:19] カラーに繋いでみると
[00:26:21] 顔のテクスチャ変わってくれました
[00:26:26] [音楽]
[00:26:28] ねでもこれいらないから
[00:26:30] チェッカーテクスチャ消して顔の借り
[00:26:33] テクスチャーもミックスで削除してもう
[00:26:36] テクスチャの後のところにカラー
[00:26:39] RGBカーブスっていうのを追加しますで
[00:26:42] Rを
[00:26:43] ぐいってあげるしたらこれ全体が実感模様
[00:26:46] の赤く赤色になってくれましたねこれと
[00:26:51] 同じような作業を
[00:26:53] 紙とかでもやってあげてマテリアル単位で
[00:26:55] この
[00:26:56] ROを大きくするとかGを大きくすると
[00:26:59] かってしてあげるとどういう単位でUVが
[00:27:01] 分かれてるかっていうのがわかりやすく
[00:27:03] なるかなと思います
[00:27:05] あとはこのテクスチャ
[00:27:08] UVのテクスチャなんですけど今
[00:27:11] ブレンダー内で生成したやつがこれですね
[00:27:13] で個人的にはこういう感じの
[00:27:17] 矢印が付いたやつの方が
[00:27:19] 低いこのUVの向きがわかりやすいので私
[00:27:22] はこれをよく使いますこれはオンライン上
[00:27:26] で
[00:27:27] 画像生成するサービスみたいなのがあって
[00:27:29] それの
[00:27:30] リンクも
[00:27:31] 概要欄に貼っておくんですけれども使い
[00:27:33] たい人は使ってみてください海でも同じ
[00:27:36] ようにやってあげますね一旦この部分
[00:27:39] 削除して
[00:27:40] [音楽]
[00:27:42] 顔のマテリアルからコントロールして
[00:27:45] コントロール
[00:27:47] Vする
[00:27:48] でカラーをベースカラーにつなぐで今度は
[00:27:52] この今R動かしたところは一旦バツで元に
[00:27:57] 戻してから今度はGを大きくするみたいな
[00:28:01] そんなノリですね体でも同じように
[00:28:06] 削除してコントロールする
[00:28:09] やつで消してこのBを大きくしてカラーを
[00:28:14] カラーにつなぐ
[00:28:17] もう肌とインナーはマテリアルは起きよう
[00:28:20] と思うのでまだ選んでこの数字のところ
[00:28:24] クリックしてマテリアルを
[00:28:26] 複製します
[00:28:28] でスキンにこうやって名前を変えてもう
[00:28:32] RGB全部大きくしちゃったから今度は肌
[00:28:36] はRとBを大きくしてピンク色みたいな
[00:28:38] 感じにしてあげます
[00:28:40] こういう風に色分けしておいたら
[00:28:43] あ手がこれと同じマテリアルになってな
[00:28:47] いっぽいぞとかそういうのが分かったり
[00:28:48] するのでいいかなーって思って個人的には
[00:28:52] よくやってます
[00:28:54] じゃあ肌のUVをきれいにしてあげ
[00:28:57] ましょうか
[00:28:59] うーんと一旦
[00:29:02] UVからアベレージアイランズスケールで
[00:29:06] 綺麗にしてあげてサイズを均一にしてあげ
[00:29:09] てから
[00:29:10] [音楽]
[00:29:11] UVのパックアイランドで全部が中に
[00:29:16] 収まるようにしてあげます逆方向も行っ
[00:29:19] てるやつとかは
[00:29:21] わかりやすい向きにしておきますね
[00:29:24] [音楽]
[00:29:32] と
[00:29:34] 島同士が近すぎても隣の色を拾うしこの
[00:29:38] 端っこに近すぎても
[00:29:41] 繰り返しするテクスチャの
[00:29:43] 隣の色を拾ったりするのでそれもちょっと
[00:29:45] だけ気をつけてあげてください
[00:29:47] [音楽]
[00:29:54] ガバガバだけどガバガバで怒られるから
[00:30:00] 手はちょっとだけ大きくしておこうかな
[00:30:02] もしかしたら書き込みするかもしれんし
[00:30:06] こんな感じでいいかな
[00:30:10] でもちょっと大きく
[00:30:12] [音楽]
[00:30:15] この手と腕
[00:30:17] 繋がってるところとかは
[00:30:20] UVの解像度が合ってないと乗る時にね
[00:30:24] ピクセルの大きさ違うじゃんみたいなのが
[00:30:27] わかったりするんだけどちょっとぐらい
[00:30:29] 大きさ違うくらいやったらとか多分わかん
[00:30:32] ないから大丈夫だと思いたい問題やったら
[00:30:36] 後で直しましょう
[00:30:39] じゃあ服もきれいに収めてみますね
[00:30:43] [音楽]
[00:31:10] 血管の大きさをこうパーツごとに見比べて
[00:31:13] みて
[00:31:14] 靴をもうちょっと
[00:31:15] 島大きくてもいいかなとかそういう風に
[00:31:19] チェッカー見比べながら島の大きさの調整
[00:31:21] したりします
[00:31:23] [音楽]
[00:31:41] これはまっすぐできそうだからしとこうか
[00:31:44] な
[00:31:45] まっすぐして
[00:31:47] [音楽]
[00:31:52] UV同期オンにしておいて
[00:31:59] ここが縦にパーっと繋がってそうだなって
[00:32:03] いうの確認し
[00:32:07] 向きはあってそうですねもうちょっと
[00:32:10] 大きくしてもいいかも
[00:32:11] [音楽]
[00:32:13] 余ってるし
[00:32:15] この真ん中くっつけるのは目視でやった後
[00:32:19] に2DカーソルのロケーションXが0.5
[00:32:23] になってること確認してからピボット
[00:32:26] ポイントを2DカーソルにしてSX
[00:32:30] 0ですねほとんど動いてないけど
[00:32:34] なんかもうちょっとねいいやり方があれば
[00:32:37] いいんですけど
[00:32:38] [音楽]
[00:32:41] 個人的にはこういうところも結構まっすぐ
[00:32:45] にしたいんですけどねこのドロワーズの
[00:32:48] 真ん中のラインとか後ろのラインとかし
[00:32:51] たいけどやりたい人はやるって事でそれも
[00:32:54] 動画にしてたら結構長くなっちゃうので次
[00:32:57] はアウターのUV展開をやっていこうと
[00:33:00] 思います
[00:33:06] [音楽]
