[00:00:00] 次は後ろ髪に本を入れたりしていこうと 思います後ろ髪は前髪とかとちょっと流れ
[00:02:49] メッシュの方を選んでる状態で コントローラーRで
[00:02:51] コントローラーRで ループ追加してボルトSで膨らませてもう
[00:02:55] ループ追加してボルトSで膨らませてもう ちょっと紙に沿った形にしてあげます
[00:03:02] そしたらまたのめしとアーマチュアだけ 選んで
[00:03:08] キーボードのスラッシュでローカル表示に したら
[00:03:11] したら アマチュアの方を召しに合わせるんです
[00:03:13] アマチュアの方を召しに合わせるんです けどその前にこの対称かのやつオンにして
[00:03:16] けどその前にこの対称かのやつオンにして おきますね
[00:03:18] おきますね ピット
[00:03:20] ピット ここまでできたら
[00:03:22] ここまでできたら メッシュアマチュアの順にシフト選択して
[00:03:26] メッシュアマチュアの順にシフト選択して コントロールP
[00:03:28] コントロールP withAutomaticWaysって
[00:03:29] withAutomaticWaysって いうのやってみますシフトタブでスナップ
[00:03:32] いうのやってみますシフトタブでスナップ をオフにして
[00:03:35] をオフにして 動かしてみますね
[00:03:37] 動かしてみますね キーボードのピリオドで
[00:03:38] キーボードのピリオドで インディビジュアルオリジンズにして
[00:03:41] インディビジュアルオリジンズにして ぼかしてみると
[00:03:44] ちょうどよくものすごくちょうどいい感じ にくっついておいてるかな
[00:03:50] にくっついておいてるかな だいたい良さそうなんですけどなんか頂点
[00:03:53] だいたい良さそうなんですけどなんか頂点 だけおかしいやつがいるので
[00:03:56] だけおかしいやつがいるので ミラモリファイを追加してみましょうか
[00:04:00] ミラモリファイを追加してみましょうか 一旦正面から見て左側の頂点消して
[00:04:05] 一旦正面から見て左側の頂点消して [音楽]
[00:04:08] [音楽] ミラーモリファイアを追加しますアーマ
[00:04:11] ミラーモリファイアを追加しますアーマ ちゃん森ファイヤーの上に持ってくるうん
[00:04:14] ちゃん森ファイヤーの上に持ってくるうん したら綺麗になってくれたかな1個1個の
[00:04:18] したら綺麗になってくれたかな1個1個の 頂点が1個1個の棒にくっついて動いて
[00:04:20] 頂点が1個1個の棒にくっついて動いて くれてるような感じになってますね
[00:04:24] くれてるような感じになってますね ブドウウェイといい感じにできたら
[00:04:27] ブドウウェイといい感じにできたら 一番上のところは全部ウエイトを消して
[00:04:31] 一番上のところは全部ウエイトを消して いきます
[00:04:35] ここでバッテンをしたら消えるんだけど アイテムのところのパーテックスウェイツ
[00:04:40] アイテムのところのパーテックスウェイツ のところで今部屋バックドットシードと
[00:04:43] のところで今部屋バックドットシードと 001にウエイト1が載ってるんですけど
[00:04:45] 001にウエイト1が載ってるんですけど バツやって消していきます
[00:04:49] バツやって消していきます うんこれだけで大丈夫
[00:04:51] うんこれだけで大丈夫 で
[00:04:52] で 新しい頂点グループ自分で作成して一番上
[00:04:57] 新しい頂点グループ自分で作成して一番上 のところ
[00:04:58] のところ 短調点にペットのウェイト1アサインして
[00:05:02] 短調点にペットのウェイト1アサインして あげますそしたらキーボードのスラッシュ
[00:05:05] あげますそしたらキーボードのスラッシュ でMODのビューに戻って今自動ウエイト
[00:05:09] でMODのビューに戻って今自動ウエイト で作ったこのメッシュからこっちの後ろ髪
[00:05:12] で作ったこのメッシュからこっちの後ろ髪 にウェイトを転送します
[00:05:15] にウェイトを転送します 淵野辺メッシュ変形してる状態だと不都合
[00:05:18] 淵野辺メッシュ変形してる状態だと不都合 なのでアーマチャモリファやオフしておき
[00:05:21] なのでアーマチャモリファやオフしておき ます
[00:05:23] ます で後ろ髪
[00:05:26] 選択してデータトランスファーの リファイア追加して今作ったシリンダー
[00:05:32] リファイア追加して今作ったシリンダー ですね
[00:05:34] ですね ジェンダーをスポイトで選んであげ
[00:05:38] ジェンダーをスポイトで選んであげ バーテックスデータのところにチェック
[00:05:40] バーテックスデータのところにチェック 入れ
[00:05:41] 入れ バーテクスグループをオンにして
[00:05:43] バーテクスグループをオンにして マッピングはニアレストフェイス
[00:05:45] マッピングはニアレストフェイス インターポレテッドにして
[00:05:47] インターポレテッドにして ジェネレートデータレイヤーズってやるね
[00:05:50] ジェネレートデータレイヤーズってやるね データトランサワモリファイアは
[00:05:52] データトランサワモリファイアは 青マチュアモリファイアの上に持ってきて
[00:05:54] 青マチュアモリファイアの上に持ってきて おきます
[00:05:57] こんな感じ したらこの白紙のボーンとこっちの体の分
[00:06:04] したらこの白紙のボーンとこっちの体の分 一緒にしたいんだけどその前に後ろ髪用の
[00:06:08] 一緒にしたいんだけどその前に後ろ髪用の ウェイト転送用メッシュはオルトピーで
[00:06:12] ウェイト転送用メッシュはオルトピーで 親子関係を解除しておきますクリア
[00:06:16] 親子関係を解除しておきますクリア &amp;キープトランスフォーメーションという
[00:06:17] &amp;キープトランスフォーメーションという のを選んであげますそしたらこの後ろ髪と
[00:06:21] のを選んであげますそしたらこの後ろ髪と 体の方コントロールJで一緒にしてあげ
[00:06:24] 体の方コントロールJで一緒にしてあげ ます
[00:06:27] これで動かしてみると
[00:06:30] 全体が固まりになって動いてる感じだけど 実際動いてるとそんなに違和感はないと
[00:06:37] 実際動いてるとそんなに違和感はないと 思う
[00:06:40] ねそれぞれの棒を揺らしてみるとこんな 感じですねもしこの段階で違和感あったり
[00:06:47] 感じですねもしこの段階で違和感あったり したらこっちのウエイト転送用の方の
[00:06:50] したらこっちのウエイト転送用の方の ウェイト
[00:06:51] ウェイト [音楽]
[00:06:52] [音楽] を変えてあげたりとかこれの位置をこう
[00:06:55] を変えてあげたりとかこれの位置をこう 変えてあげたりしてもいいと思いますあと
[00:06:58] 変えてあげたりしてもいいと思いますあと は防音の位置を変えるのもアリだと
[00:07:02] は防音の位置を変えるのもアリだと 思うこれちょっと下げてもそんな変じゃ
[00:07:04] 思うこれちょっと下げてもそんな変じゃ ないかなぁこんくらいとか
[00:07:08] ないかなぁこんくらいとか [音楽]
[00:07:09] [音楽] 揺らして確認
[00:07:12] で後ろ髪のところは この中のところここは紙とくっついて動い
[00:07:19] この中のところここは紙とくっついて動い て欲しくないのでこの辺は新しい
[00:07:23] て欲しくないのでこの辺は新しい ウェイト転送ここだけしてくださいよ頂点
[00:07:27] ウェイト転送ここだけしてくださいよ頂点 グループっていうのを作ってあげます
[00:07:29] グループっていうのを作ってあげます 後ろ髪のオブジェクト選んで新しい頂点が
[00:07:33] 後ろ髪のオブジェクト選んで新しい頂点が 作って
[00:07:35] 作って ベイトトランスファーという名前にして
[00:07:39] ベイトトランスファーという名前にして おきます
[00:07:41] おきます でタブキーで編集モード入って一旦
[00:07:46] でタブキーで編集モード入って一旦 選択して
[00:07:49] ウェイト1割当てておきますで キーボードのスラッシュでこれだけ表示さ
[00:07:54] キーボードのスラッシュでこれだけ表示さ せて絶対この辺は動いてほしくないって
[00:07:57] せて絶対この辺は動いてほしくないって いうところをガッと選んで
[00:08:01] いうところをガッと選んで ウェイトトランスファーの頂点グループ
[00:08:02] ウェイトトランスファーの頂点グループ からリムーブしておきます
[00:08:06] この辺とかも動いて欲しくないから リムーブしてそしたらモディファイアの
[00:08:12] リムーブしてそしたらモディファイアの ところで
[00:08:13] ところで さっき作った
[00:08:15] さっき作った ウェイトトランスファー用の頂点グループ
[00:08:18] ウェイトトランスファー用の頂点グループ を指定します
[00:08:20] を指定します 棒を動かしてみると
[00:08:22] 棒を動かしてみると さっきリムーブしたらへんは覚えてない
[00:08:25] さっきリムーブしたらへんは覚えてない ですねこの辺
[00:08:28] この辺もあんまりいいかなーっていう ところは
[00:08:33] ところは [音楽]
[00:08:36] [音楽] ウェイトトランスファーのウェイト
[00:08:37] ウェイトトランスファーのウェイト ちっちゃく割り当ててあげるとかしてあげ
[00:08:40] ちっちゃく割り当ててあげるとかしてあげ てもいいかも
[00:08:43] この動かなくていいな だいたい動いていいとこ良くないとこって
[00:08:49] だいたい動いていいとこ良くないとこって いうのは指定できたかなと思うんですけど
[00:08:52] いうのは指定できたかなと思うんですけど この紙の内側はかなりグチャってますよね
[00:08:56] この紙の内側はかなりグチャってますよね ウェイトがこれはやっぱりこのベイト転送
[00:09:00] ウェイトがこれはやっぱりこのベイト転送 用の
[00:09:01] 用の 板と実際のここが
[00:09:04] 板と実際のここが 離れてると点数あんまうまくいかないので
[00:09:06] 離れてると点数あんまうまくいかないので こういう時にはこの
[00:09:09] こういう時にはこの 板自体に
[00:09:10] 板自体に 厚みをつけてあげるとかあとはデータ
[00:09:13] 厚みをつけてあげるとかあとはデータ 転送
[00:09:15] 転送 モディファイアを適用した後に
[00:09:18] モディファイアを適用した後に 綺麗に変形してるところからウェイトを
[00:09:20] 綺麗に変形してるところからウェイトを コピーするかとかのやり方があるかなと
[00:09:23] コピーするかとかのやり方があるかなと 思います
[00:09:24] 思います [音楽]
[00:09:25] [音楽] この板に厚みをつけるやり方をちょっと
[00:09:28] この板に厚みをつけるやり方をちょっと 試してみようかなと思います
[00:09:32] [音楽] ミラーモディファイアのクリッピングは
[00:09:35] ミラーモディファイアのクリッピングは オンにした状態でいいで押し出ししておる
[00:09:39] オンにした状態でいいで押し出ししておる とSで
[00:09:40] とSで 膨らませる
[00:09:43] これとかかなりGYで手前に持ってきて [音楽]
[00:09:53] [音楽] こんな感じ
[00:09:55] こんな感じ 押し出しした時にはこの
[00:09:58] 押し出しした時にはこの 元々ここにあったベイトを押し出したのも
[00:10:02] 元々ここにあったベイトを押し出したのも コピーしてくれるので
[00:10:04] コピーしてくれるので ウェイト自体も問題ないかなと思います
[00:10:06] ウェイト自体も問題ないかなと思います このままだと見づらいのでオレンジの四角
[00:10:10] このままだと見づらいのでオレンジの四角 アイコンのところから
[00:10:12] アイコンのところから ディスプレイヤーズをワイヤーにしておき
[00:10:14] ディスプレイヤーズをワイヤーにしておき ますね
[00:10:15] ますね 押し出ししたら結構内側は綺麗になって
[00:10:18] 押し出ししたら結構内側は綺麗になって くれたんじゃないかな
[00:10:21] くれたんじゃないかな もう1回ピボットポイント
[00:10:23] もう1回ピボットポイント インディビジュアルオリジンズにして
[00:10:25] インディビジュアルオリジンズにして いらしてみるけど
[00:10:28] こんなに悪くないかなという気がしますね 押し出ししてもあんまうまくいかないなっ
[00:10:35] 押し出ししてもあんまうまくいかないなっ てなった人は
[00:10:38] てなった人は 後ほどデータトランスフォームリファや
[00:10:41] 後ほどデータトランスフォームリファや 適用するんですけど
[00:10:42] 適用するんですけど 適用した後にいい感じに動いているところ
[00:10:45] 適用した後にいい感じに動いているところ からウエストコピーっていうのやってみて
[00:10:47] からウエストコピーっていうのやってみて くださいコピーについては体のスキニング
[00:10:51] くださいコピーについては体のスキニング とかの動画で説明してると思いますこれで
[00:10:55] とかの動画で説明してると思いますこれで 紙のボーンはだいたい全部
[00:10:57] 紙のボーンはだいたい全部 追加できたと思います
[00:10:59] 追加できたと思います 頭を動かしても紙の方がくっついてきて
[00:11:02] 頭を動かしても紙の方がくっついてきて ないので親子付けしておきますね
[00:11:04] ないので親子付けしておきますね [音楽]
[00:11:06] [音楽] 練習モードで
[00:11:07] 練習モードで [音楽]
[00:11:11] [音楽] 紙の
[00:11:12] 紙の を選択していって2
[00:11:16] を選択していって2 段になってるところは上だけですね
[00:11:18] 段になってるところは上だけですね [音楽]
[00:11:22] [音楽] でも選択できてるかな
[00:11:25] でも選択できてるかな で最後にヘッド選択してからコントロール
[00:11:29] で最後にヘッド選択してからコントロール Pでキープをオフセットあげると頭を
[00:11:33] Pでキープをオフセットあげると頭を 動かしたら神がついてきてますね
[00:11:35] 動かしたら神がついてきてますね 保温多くなってくるとだんだん見づらく
[00:11:39] 保温多くなってくるとだんだん見づらく なってくるので
[00:11:40] なってくるので [音楽]
[00:11:41] [音楽] 髪のボーンは別レイヤーに移動しておき
[00:11:44] 髪のボーンは別レイヤーに移動しておき ます
[00:11:47] 地域とかで 頑張って
[00:11:50] 頑張って 選択してあげて
[00:11:51] 選択してあげて これかなでMでレイヤーをピッて移動し
[00:11:56] これかなでMでレイヤーをピッて移動し ます
[00:11:58] ます レイヤーはこの辺のコレクションとは別で
[00:12:01] レイヤーはこの辺のコレクションとは別で ボーンだけのレイヤーっていうのがあるの
[00:12:03] ボーンだけのレイヤーっていうのがあるの でこの
[00:12:05] でこの 緑の
[00:12:06] 緑の 棒人間のアイコンのところでレイヤーって
[00:12:08] 棒人間のアイコンのところでレイヤーって いうところ切り替えてあげてください両方
[00:12:11] いうところ切り替えてあげてください両方 表示したいときにはシフトをしながら
[00:12:13] 表示したいときにはシフトをしながら レイヤー選択すると
[00:12:15] レイヤー選択すると 複数のレイヤー同士に表示させることは
[00:12:17] 複数のレイヤー同士に表示させることは できます
[00:12:19] できます とりあえず体だけの表示にしておきますね
[00:12:22] とりあえず体だけの表示にしておきますね これですスッキリ
[00:12:25] これですスッキリ 次は
[00:12:26] 次は 服の揺れ物用の棒を追加したり
[00:12:30] 服の揺れ物用の棒を追加したり ウェイトしたりしていこうと思います
[00:12:35] 前回までに 髪を揺れるようにしたので今度は
[00:12:39] 髪を揺れるようにしたので今度は 裾が揺れるようにしてあげようと思います
[00:12:43] 裾が揺れるようにしてあげようと思います このワンピースした部分の黒海ここ辺りに
[00:12:47] このワンピースした部分の黒海ここ辺りに 棒を入れて揺らしてあげようと思います
[00:12:49] 棒を入れて揺らしてあげようと思います 保温の入れ方とかウェイトの付け方的には
[00:12:53] 保温の入れ方とかウェイトの付け方的には 後ろ髪でやったのと同じようにまずは単純
[00:12:57] 後ろ髪でやったのと同じようにまずは単純 な形状に棒を入れてそこからウエイト転送
[00:13:00] な形状に棒を入れてそこからウエイト転送 するみたいなやり方でやろうと思います
[00:13:02] するみたいなやり方でやろうと思います アクセサリー
[00:13:04] アクセサリー 類
[00:13:05] 類 非表示にしておいて
[00:13:07] 非表示にしておいて ワンピースの
[00:13:08] ワンピースの この辺りを複製して作ろうと思います
[00:13:12] この辺りを複製して作ろうと思います シフトDで複製して
[00:13:15] シフトDで複製して esceでPで分離します
[00:13:19] esceでPで分離します 分離したやつがここですね
[00:13:23] 真ん中くっついてないのでGXでピッと 真ん中くっつけてあげます
[00:13:28] 真ん中くっつけてあげます [音楽]
[00:13:32] これで単純なシリンダーみたいな形状に なってますね
[00:13:36] なってますね まずはGCCで
[00:13:38] まずはGCCで エッジの
[00:13:40] エッジの 延長線上に
[00:13:43] 延長線上に スライドして
[00:13:44] スライドして ここにも割りやすいのでコントロールRで
[00:13:48] ここにも割りやすいのでコントロールRで ループを追加します
[00:13:49] ループを追加します [音楽]
[00:13:50] [音楽] こんな感じ
[00:13:52] こんな感じ [音楽]
[00:13:55] [音楽] キーボードのスラッシュでこれだけ表示に
[00:13:57] キーボードのスラッシュでこれだけ表示に しておいて
[00:13:59] しておいて シフトAから
[00:14:01] シフトAから シングルボーンを追加してタブキーで編集
[00:14:05] シングルボーンを追加してタブキーで編集 モードに入りますでシフトタブから
[00:14:08] モードに入りますでシフトタブから スナップをオンにするのとスナップ先は
[00:14:11] スナップをオンにするのとスナップ先は 頂点にしておきます
[00:14:13] 頂点にしておきます インテージで動かして今ウェイト点数用に
[00:14:18] インテージで動かして今ウェイト点数用に 作ったメッシュ
[00:14:19] 作ったメッシュ 位置頂点ずつに1個のボーンの機転が来る
[00:14:22] 位置頂点ずつに1個のボーンの機転が来る ようにピット持ってきてあげます青梅はF
[00:14:26] ようにピット持ってきてあげます青梅はF 2匹で帰ってM
[00:14:29] 2匹で帰ってM [音楽]
[00:14:31] [音楽] 001にしておきますね
[00:14:33] 001にしておきますね わかりやすいように
[00:14:36] わかりやすいように 棒人間のアイコンのところからnames
[00:14:37] 棒人間のアイコンのところからnames にチェック入れておきます
[00:14:39] にチェック入れておきます [音楽]
[00:14:40] [音楽] 亡命何でもいいけどご自身が分かりやすい
[00:14:43] 亡命何でもいいけどご自身が分かりやすい のにしてあげてください
[00:14:45] のにしてあげてください ここできたらいいで出だし入れをシェアし
[00:14:49] ここできたらいいで出だし入れをシェアし いって延長線上に作ってあげます
[00:14:52] いって延長線上に作ってあげます できたらこっちが複製して
[00:14:55] できたらこっちが複製して これがこここれがここっていう風に持って
[00:15:00] これがこここれがここっていう風に持って きてあげます
[00:15:01] きてあげます 本命はM
[00:15:06] 001で ABCDEっていう風に横の段が繋がって
[00:15:11] ABCDEっていう風に横の段が繋がって て縦の段は001002っていうような
[00:15:16] て縦の段は001002っていうような 面々規則でやろうかなと思いますこれ
[00:15:18] 面々規則でやろうかなと思いますこれ どんどん
[00:15:19] どんどん cde以降もやっていきますね
[00:15:23] cde以降もやっていきますね [音楽]
[00:15:34] [音楽] 半分の
[00:15:36] 半分の 棒が入ってし終わったらカット向かって
[00:15:39] 棒が入ってし終わったらカット向かって 右側のボーンだけ選択して右クリック
[00:15:43] 右側のボーンだけ選択して右クリック namesポートネームレフトライトで
[00:15:46] namesポートネームレフトライトで ドットLっていうのを
[00:15:49] ドットLっていうのを 末尾につけてあげます
[00:15:50] 末尾につけてあげます さあまた右クリックしてシンメトライズっ
[00:15:54] さあまた右クリックしてシンメトライズっ てしてあげたら
[00:15:55] てしてあげたら 反対側のも
[00:15:56] 反対側のも 門が作られますね一応動かしてみましょう
[00:15:59] 門が作られますね一応動かしてみましょう かポーズモードで動かしたらこんな感じ
[00:16:02] かポーズモードで動かしたらこんな感じ ですね
[00:16:02] ですね [音楽]
[00:16:05] [音楽] キーボードのピリオドで
[00:16:07] キーボードのピリオドで ピボットポイントインディビジュアル
[00:16:09] ピボットポイントインディビジュアル オリジンスにしておくとこういう風に
[00:16:11] オリジンスにしておくとこういう風に 各ボーンが動いてくれてスカートみたいな
[00:16:14] 各ボーンが動いてくれてスカートみたいな 感じで動かせます
[00:16:17] 感じで動かせます rxxとか
[00:16:19] rxxとか rzzとかって
[00:16:21] rzzとかって 軸の方向を2度押しするとそのボーンごと
[00:16:24] 軸の方向を2度押しするとそのボーンごと のローカル軸に沿って変形ができるんです
[00:16:26] のローカル軸に沿って変形ができるんです けれども
[00:16:28] けれども 軸をこの棒人間アイコンのアクシスの
[00:16:31] 軸をこの棒人間アイコンのアクシスの ところでオンにしてあげると
[00:16:35] ローカル塾確認できますねこれZが全体の こう中心向きになってて欲しいんですけど
[00:16:41] こう中心向きになってて欲しいんですけど 今バラバラの向きになってるので
[00:16:44] 今バラバラの向きになってるので 角棒の
[00:16:45] 角棒の 軸の向きも変えて置いてあげます
[00:16:48] 軸の向きも変えて置いてあげます ブレンダーだとアマチュアを編集モードに
[00:16:51] ブレンダーだとアマチュアを編集モードに 入ってアイテムのロールのところで
[00:16:54] 入ってアイテムのロールのところで 変えれるものですねこれ1個選んでここ
[00:16:57] 変えれるものですねこれ1個選んでここ 書いてあげると軸の向き変わってますよね
[00:17:00] 書いてあげると軸の向き変わってますよね 一括で変更したいのでこの辺りの保温選択
[00:17:05] 一括で変更したいのでこの辺りの保温選択 してからシフトSでカーソル2セレクトに
[00:17:08] してからシフトSでカーソル2セレクトに してあげますそしたらAで全選択して
[00:17:12] してあげますそしたらAで全選択して アーマチャーのメニューのボーンロールの
[00:17:16] アーマチャーのメニューのボーンロールの 中のリカルキュレートロールの中で
[00:17:19] 中のリカルキュレートロールの中で カーソルっていうのを選んであげます
[00:17:23] カーソルっていうのを選んであげます そうすると軸の向きがパッて変わって全体
[00:17:26] そうすると軸の向きがパッて変わって全体 の
[00:17:27] の Zの軸が中心向いてる感じになってくれ
[00:17:30] Zの軸が中心向いてる感じになってくれ ましたね
[00:17:32] ましたね これでポーズモードで動かしてみると
[00:17:35] これでポーズモードで動かしてみると rxxでスカートがぽわーっと広がるよう
[00:17:39] rxxでスカートがぽわーっと広がるよう な感じ
[00:17:41] な感じ rzzでねじれるような感じ
[00:17:45] rzzでねじれるような感じ っていう風に変形しやすくなってくれたと
[00:17:47] っていう風に変形しやすくなってくれたと 思います
[00:17:48] 思います やんなくてもいいけどやっといた方が後々
[00:17:53] やんなくてもいいけどやっといた方が後々 助かるかもしれないっていうやつですね
[00:17:56] 助かるかもしれないっていうやつですね そしたらこの
[00:17:58] そしたらこの ウェイト転送用のメッシュ
[00:18:00] ウェイト転送用のメッシュ モディファイアはミラーがあってデータ
[00:18:03] モディファイアはミラーがあってデータ 転送とアオマチャのいらないのでミラー
[00:18:06] 転送とアオマチャのいらないのでミラー モディファイアだけにしておいてから今
[00:18:08] モディファイアだけにしておいてから今 ある頂点グループも
[00:18:11] ある頂点グループも プラスマイナスの下の三角アイコンから
[00:18:13] プラスマイナスの下の三角アイコンから デリート
[00:18:15] デリート ウォールグループ
[00:18:16] ウォールグループ 適してあげますこれで
[00:18:19] 適してあげますこれで たらメッシュアマチュアの順にシフト選択
[00:18:22] たらメッシュアマチュアの順にシフト選択 してコントロールP
[00:18:25] してコントロールP withAutomaticwentって
[00:18:26] withAutomaticwentって やってあげます
[00:18:29] もうこうなっちゃいます自動ウェイトして ポーズモードに入ったらうんなんか変
[00:18:36] ポーズモードに入ったらうんなんか変 なんか変ってなってますねいつもやったら
[00:18:40] なんか変ってなってますねいつもやったら これでうまいこと行くんですけどこの要は
[00:18:43] これでうまいこと行くんですけどこの要は やりたいのは
[00:18:45] やりたいのは 位置頂点に1ボーンのウエイトが1乗っ
[00:18:47] 位置頂点に1ボーンのウエイトが1乗っ てるような感じにしたいんですねこれと
[00:18:50] てるような感じにしたいんですねこれと 全く同じような変形をこのスカートにもし
[00:18:53] 全く同じような変形をこのスカートにもし てほしいんだけどそうなってくれてないの
[00:18:55] てほしいんだけどそうなってくれてないの でうーん
[00:18:57] でうーん 見てる方はもしなってたらもうそれでOK
[00:19:00] 見てる方はもしなってたらもうそれでOK ですで私みたいになぜかうまくいかんって
[00:19:04] ですで私みたいになぜかうまくいかんって なったらまあ手動で直すしかないかな一旦
[00:19:10] 頂点グループ全部削除してからもう1回 コントロールPでwithエンプティ
[00:19:17] コントロールPでwithエンプティ グループスってしてあげます
[00:19:20] グループスってしてあげます でポーズモードで
[00:19:22] でポーズモードで rxxってしても人間しないんですけど
[00:19:25] rxxってしても人間しないんですけど ここから1個1個割り当てていきますこの
[00:19:29] ここから1個1個割り当てていきますこの A.001の先のこの位置頂点に
[00:19:34] A.001の先のこの位置頂点に [音楽]
[00:19:36] [音楽] 001のウェイト1割合ってる
[00:19:38] 001のウェイト1割合ってる アマチュアモディファイアの資格と三角の
[00:19:41] アマチュアモディファイアの資格と三角の ところをオンにすると
[00:19:43] ところをオンにすると 割り当てした瞬間に動いてくれるので
[00:19:45] 割り当てした瞬間に動いてくれるので ちゃんと割り当てられてるかが確認し
[00:19:48] ちゃんと割り当てられてるかが確認し やすいと思います
[00:19:49] やすいと思います [音楽]
[00:19:52] [音楽] マサイン
[00:19:55] マサイン [音楽]
[00:19:57] [音楽] こういう風にどんどんアサインしていき
[00:19:59] こういう風にどんどんアサインしていき ますね
[00:19:59] ますね [音楽]
[00:20:07] ビットの割り当てができました 動かしてみるとこんな感じですね
[00:20:14] 色があるし ねじらせられるし
[00:20:18] ねじらせられるし [音楽]
[00:20:20] [音楽] もうそしたらポルトガルオルト紙で元の
[00:20:23] もうそしたらポルトガルオルト紙で元の 形状に戻してあげてオブジェクトモードに
[00:20:27] 形状に戻してあげてオブジェクトモードに 戻ります
[00:20:28] 戻ります キーボードのスラッシュから元のビューに
[00:20:30] キーボードのスラッシュから元のビューに 戻って
[00:20:31] 戻って ベイトを塗ってあげたこの単純な形状から
[00:20:35] ベイトを塗ってあげたこの単純な形状から うちの服の方にベイトを転送してあげよう
[00:20:39] うちの服の方にベイトを転送してあげよう と思います
[00:20:41] と思います 単純な形状の方はF2からリネンして
[00:20:45] 単純な形状の方はF2からリネンして ウエイトトランスファー
[00:20:48] ウエイトトランスファー とかって名前を書いておきます
[00:20:51] とかって名前を書いておきます の
[00:20:52] の ウェイト転送用のメッシュはアーマチュア
[00:20:56] ウェイト転送用のメッシュはアーマチュア モディファイアも切ってあとは
[00:20:59] モディファイアも切ってあとは コントロールAオールトランスフォームズ
[00:21:01] コントロールAオールトランスフォームズ でトランスフォームを適用してまっさらな
[00:21:04] でトランスフォームを適用してまっさらな 状態にしておきますそしたらMキーで別
[00:21:08] 状態にしておきますそしたらMキーで別 コレクションに移動します
[00:21:10] コレクションに移動します 次は今作ったスカート用の甘茶と
[00:21:15] 次は今作ったスカート用の甘茶と 元々あった人型のアマチュアを一緒に
[00:21:19] 結合したいんですけど 結合する前にですねスカート用の
[00:21:24] 結合する前にですねスカート用の アマチュアは
[00:21:25] アマチュアは 編集モードで防音を全部選択した状態でM
[00:21:29] 編集モードで防音を全部選択した状態でM キーで別のレイヤーに通します3つ目とか
