[] Kind: captions
[] Language: ja
[00:00:00] こんにちはふさ子です今回は初級車から
[00:34:19] ますこの辺でよく使えるのはループ
[00:34:23] ツールズ右クリックのループツールズの
[00:34:26] リラックスとかですねしたらさっきから
[00:34:30] 結構気にしてたその頂点の偏りがあんまり
[00:34:33] ないようにって言ってたんですけどそれを
[00:34:36] 偏りがあんまりなくしてくれ
[00:34:41] ますEYで押し出しし
[00:34:45] てここら辺でもう穴を埋めちゃっていいか
[00:34:49] な奥の2点選んでFで目張ってコントロR
[00:34:54] でループついたちょっとして
[00:34:59] からここで目張りここで
[00:35:04] 目張りこれで空洞できましたね後からもう
[00:35:07] ちょっと割を足すとかでもいいかもしん
[00:35:10] ないこもですねこの2頂点もマジしちゃっ
[00:35:16] たら
[00:35:17] うだいぶすっきりしたところになるので
[00:35:21] もうマジしちゃいましょうかマジしちゃい
[00:35:25] ましょうできるだけトポロジーで今回は
[00:35:29] やりたいなと思うの
[00:35:32] でうんこんな感じです
[00:35:36] ね投資トも切りえっと平行投映と投資ト
[00:35:41] 切り替えつつちょっとずつ調整します顎の
[00:35:46] 下のところもうちょっと前に出してもいい
[00:35:49] か
[00:35:52] ももうちょっと前に出して
[00:35:57] はもうちょっと下げてもいい
[00:35:59] [音楽]
[00:36:08] かこれで大体顔の外形はできたので今度は
[00:36:13] 目とかまつ毛とかを作っていこうと思い
[00:36:16] ます
[00:36:17] [音楽]
