[00:00:00] パーツが大体できたのでここからはボンを 入れていこうと思います今回作るのは
[00:01:53] はこのオレンジの四角アイコンのところ からインフロントにチェック入れるのと
[00:01:56] からインフロントにチェック入れるのと ディスプレイアをワイヤーにしておきます
[00:01:59] ディスプレイアをワイヤーにしておきます で全体的にSでちっちゃくし
[00:02:03] で全体的にSでちっちゃくし て肩の位置が合うくらいにしておけばいい
[00:02:06] て肩の位置が合うくらいにしておけばいい かなうんでここからタブキーで編集モード
[00:02:11] かなうんでここからタブキーで編集モード に入って1本1本棒の位置を合わせていっ
[00:02:13] に入って1本1本棒の位置を合わせていっ てあげ
[00:02:14] てあげ [音楽]
[00:02:20] ます他のモデルとかも参考にし
[00:02:26] ながら大体の位置を体の中に持ってくる ように合わせてあげ
[00:02:32] ように合わせてあげ ます首の根元はこの
[00:02:35] ます首の根元はこの 辺網も表示にしてこうかな身表示にして頭
[00:02:41] 辺網も表示にしてこうかな身表示にして頭 の根元がこの辺っていう風に関節を近くに
[00:02:46] の根元がこの辺っていう風に関節を近くに 持ってってあげ
[00:02:49] 持ってってあげ ます目を動かそうとすると右目がついてき
[00:02:53] ます目を動かそうとすると右目がついてき てないので左右対象で動かすためにここの
[00:02:56] てないので左右対象で動かすためにここの Xのところオンにしておきますしたら固め
[00:03:00] Xのところオンにしておきますしたら固め 動かしたらもう片方も動くね目のボは後で
[00:03:04] 動かしたらもう片方も動くね目のボは後で 位置調整するとしてとりあえず適当な位置
[00:03:07] 位置調整するとしてとりあえず適当な位置 に置いておき
[00:03:08] に置いておき [音楽]
[00:03:11] [音楽] ます肩の方この辺腕の方この辺って感じで
[00:03:16] ます肩の方この辺腕の方この辺って感じで 曲がりそうなところに持っていき
[00:03:21] ますで指とかは自分で入れた本を使いたい のでこの辺は選択してXキーで削除してき
[00:03:31] のでこの辺は選択してXキーで削除してき ます関節ら辺まで持っていく
[00:03:36] ます関節ら辺まで持っていく とで腕の真ん中通るよう
[00:03:42] にちょっと移動してあげ
[00:03:48] ます 関節ありにまた足のを持っていってこれは
[00:03:54] 関節ありにまた足のを持っていってこれは 膝の
[00:03:56] 膝の ありこれは足首あたり
[00:04:03] 横から見た時も足首の辺りくるようにこれ はつま先の
[00:04:08] はつま先の [音楽]
[00:04:18] 辺この棒人間のアイコンのところで ネームズにチェック入れてあげると1本1
[00:04:24] ネームズにチェック入れてあげると1本1 本の棒名が確認できます
[00:04:27] 本の棒名が確認できます ね名はこのままでも特に問題ないんです
[00:04:30] ね名はこのままでも特に問題ないんです けどキャピタライズションっていうのかな
[00:04:33] けどキャピタライズションっていうのかな 1文字目は大文字の大文字になってないと
[00:04:37] 1文字目は大文字の大文字になってないと 個人的になんとなく気持ち悪いのであと
[00:04:40] 個人的になんとなく気持ち悪いのであと このアスコ使わない方が自分的には慣れ
[00:04:44] このアスコ使わない方が自分的には慣れ てるのでそこをちょっと変させていただき
[00:04:46] てるのでそこをちょっと変させていただき ますこっちの手でやった時と同じような
[00:04:49] ますこっちの手でやった時と同じような 感じにしたいっていう糸ですねも1本選ん
[00:04:53] 感じにしたいっていう糸ですねも1本選ん だらF2ファンクション機の2番
[00:04:57] だらF2ファンクション機の2番 で1文字目を
[00:05:00] で1文字目を 大文字に変え
[00:05:01] 大文字に変え [音楽]
[00:05:04] [音楽] ます向かって右側左半身だけとりあえず
[00:05:10] ます向かって右側左半身だけとりあえず やっていきやってやっていきます
[00:05:13] やっていきやってやっていきます [音楽]
[00:05:22] ね真ん中と左半身のだけやってあげたら えっと一旦こののXのところをオフにして
[00:05:32] えっと一旦こののXのところをオフにして おい
[00:05:33] おい てこの右半身の方音選択し
[00:05:38] てこの右半身の方音選択し て削除しますこれもいらないこれもいら
[00:05:42] て削除しますこれもいらないこれもいら ないやってあげた後にえで全選択して右
[00:05:47] ないやってあげた後にえで全選択して右 クリックのシンメトライズってやってあげ
[00:05:50] クリックのシンメトライズってやってあげ たらアッパーレグに対応するアレグ.r
[00:05:53] たらアッパーレグに対応するアレグ.r っていうのが作られると思いますそしたら
[00:05:56] っていうのが作られると思いますそしたら また対象モードをオンにしておきますね
[00:06:00] また対象モードをオンにしておきますね 忘れないうちにここまでできたらもう手の
[00:06:03] 忘れないうちにここまでできたらもう手の ボと体のボ一緒にしてあげようと思います
[00:06:08] ボと体のボ一緒にしてあげようと思います 手の本のローアーアームを一旦消しておい
[00:06:13] 手の本のローアーアームを一旦消しておい てこっちも消してでこれとこれシフト選択
[00:06:20] てこっちも消してでこれとこれシフト選択 選んでコントロJで繋げてあげ
[00:06:24] 選んでコントロJで繋げてあげ ますこの状態だとハンドとロアーアームの
[00:06:27] ますこの状態だとハンドとロアーアームの 親付けがされてないと思うのでハンド
[00:06:30] 親付けがされてないと思うのでハンド ロアーアームって選んでコントロPキープ
[00:06:33] ロアーアームって選んでコントロPキープ オフセットでつげえっと親関係を作って
[00:06:36] オフセットでつげえっと親関係を作って あげます左右対象モドオンにしてたのでハ
[00:06:40] あげます左右対象モドオンにしてたのでハ .Rの親もロアアーム.Rになってますね
[00:06:44] .Rの親もロアアーム.Rになってますね えっと骨のアコンのところの
[00:06:47] えっと骨のアコンのところの リレーションズペアレントっていうところ
[00:06:49] リレーションズペアレントっていうところ 見たら確認できると思い
[00:06:51] 見たら確認できると思い ますこれで1回動かしてみる
[00:06:55] ますこれで1回動かしてみる とうんちゃんとハドとかもついてきてます
[00:06:58] とうんちゃんとハドとかもついてきてます ね
[00:07:00] ね 骨が大体できたのでここからウェイトに
[00:07:03] 骨が大体できたのでここからウェイトに 移るんですけどスキディングっていうやつ
[00:07:05] 移るんですけどスキディングっていうやつ ですね自動ウェイトを使って一旦やって
[00:07:08] ですね自動ウェイトを使って一旦やって みようと思います自動ウェイトする前に
[00:07:12] みようと思います自動ウェイトする前に うんと一旦この手の部分を選択し
[00:07:17] うんと一旦この手の部分を選択し てピーキーで分離しておきますこいつだけ
[00:07:22] てピーキーで分離しておきますこいつだけ このも手は綺麗にウェイトを塗ってあげた
[00:07:25] このも手は綺麗にウェイトを塗ってあげた と思うのでそれが上書きされないよう
[00:07:28] と思うのでそれが上書きされないよう にっていう糸ですね
[00:07:30] にっていう糸ですね でアーマチャーの方もルートっていう本を
[00:07:33] でアーマチャーの方もルートっていう本を 選んでデフォームのチェックを外しておき
[00:07:36] 選んでデフォームのチェックを外しておき ますでフォームのチェック外しておいたら
[00:07:39] ますでフォームのチェック外しておいたら 自動ウェイトの時にウェイトが乗らないで
[00:07:41] 自動ウェイトの時にウェイトが乗らないで くれるの
[00:07:43] くれるの でしたら体アーマチュアの順に選択してc
[00:07:48] でしたら体アーマチュアの順に選択してc pでwithオートマティックウイていう
[00:07:51] pでwithオートマティックウイていう のでやってあげ
[00:07:54] ますこれで動かしてみるとくっついて動い てきてくれてますね
[00:08:00] てきてくれてますね 体のオブジェクト見てみるとアーマチャー
[00:08:03] 体のオブジェクト見てみるとアーマチャー モディファイヤっていうのがさっきので
[00:08:04] モディファイヤっていうのがさっきので 自動的に追加してくれてるのででも同じ
[00:08:08] 自動的に追加してくれてるのででも同じ ようにアーマチュアモディファイア追加し
[00:08:11] ようにアーマチュアモディファイア追加し てアーマチュア選択しておき
[00:08:15] [音楽]
[00:08:21] ます色んな本を動かしてみてウェイトを ちょっとチェックしてみます例えば足
[00:08:27] ちょっとチェックしてみます例えば足 動かすとめっちゃお腹えぐれてるから足の
[00:08:30] 動かすとめっちゃお腹えぐれてるから足の ウェイト塗りすぎだなとかそんな感じです
[00:08:34] ウェイト塗りすぎだなとかそんな感じです ね何度も曲げてみるとうんここにもう
[00:08:39] ね何度も曲げてみるとうんここにもう ちょっと割りがあった方がいいかなとか
[00:08:41] ちょっと割りがあった方がいいかなとか です
[00:08:43] です ねこ動かしたら頭もついてくるように頭の
[00:08:47] ねこ動かしたら頭もついてくるように頭の 方にもウェイトを設定してあげようと思い
[00:08:50] 方にもウェイトを設定してあげようと思い ますさっきは自動ウェイトでやったんです
[00:08:52] ますさっきは自動ウェイトでやったんです けど頭選ん
[00:08:54] けど頭選ん で新しい頂点グループ作ってヘッド
[00:08:59] で新しい頂点グループ作ってヘッド この頭の防音と同じ名前の頂点グループを
[00:09:03] この頭の防音と同じ名前の頂点グループを 作りますで編集モードで全部選択してから
[00:09:07] 作りますで編集モードで全部選択してから アサインしてあげ
[00:09:09] アサインしてあげ ますアサインしたらモディファイアから
[00:09:13] ますアサインしたらモディファイアから マッチはアマチャモディファイアを追加し
[00:09:17] マッチはアマチャモディファイアを追加し てあげますこれでついてきてくれましたね
[00:09:21] てあげますこれでついてきてくれましたね 目も同じです
[00:09:22] 目も同じです ねi.lって作って全部選択して割り当て
[00:09:29] ねi.lって作って全部選択して割り当て してあげるのと目に関してはi.li.r
[00:09:34] してあげるのと目に関してはi.li.r って左右別々に本があるの
[00:09:37] って左右別々に本があるの でi.lに割り当てするのとは別にからの
[00:09:42] でi.lに割り当てするのとは別にからの i.rっていうのも作っておいてあげます
[00:09:45] i.rっていうのも作っておいてあげます これは作るだけで割り当てとかする必要
[00:09:47] これは作るだけで割り当てとかする必要 ないですやってあげたらまたアーマチュア
[00:09:50] ないですやってあげたらまたアーマチュア モディファイアを追加するでこ動かして
[00:09:54] モディファイアを追加するでこ動かして みるとそれぞれの目がこれで動いてくれて
[00:09:57] みるとそれぞれの目がこれで動いてくれて ますんね
[00:10:00] ますんね 耳
[00:10:02] 耳 はもう耳の毛と外側一緒にしちゃい
[00:10:06] はもう耳の毛と外側一緒にしちゃい ましょうかモディファイア全く同じなので
[00:10:10] ましょうかモディファイア全く同じなので 一緒にしちゃっても特に問題ないと思い
[00:10:12] 一緒にしちゃっても特に問題ないと思い ます両方選択してコントロールJで一緒に
[00:10:15] ます両方選択してコントロールJで一緒に し
[00:10:16] し てソリファスケールっていう厚み付きの時
[00:10:20] てソリファスケールっていう厚み付きの時 に作った頂点グループももういらないから
[00:10:22] に作った頂点グループももういらないから 消しておきますねでベッドの棒に全部選択
[00:10:28] 消しておきますねでベッドの棒に全部選択 してでウェイト1を
[00:10:31] してでウェイト1を 割り当てでアーマチュアモディファイアを
[00:10:34] 割り当てでアーマチュアモディファイアを 追加
[00:10:37] するアポス戻したい時にはAで全選択して オルトRオルトGですね回転をクリア
[00:10:45] オルトRオルトGですね回転をクリア するっていうもの
[00:10:46] するっていうもの [音楽]
[00:10:48] [音楽] です動ウェイトで大体ウェイトが乗った
[00:10:51] です動ウェイトで大体ウェイトが乗った ところでここからウェイトペイントで
[00:10:54] ところでここからウェイトペイントで ウェイト調整してあげようと思い
[00:10:57] ウェイト調整してあげようと思い ます足動かしたら中の方までめっちゃ動い
[00:11:00] ます足動かしたら中の方までめっちゃ動い ちゃってるのでアーマチュアと体をシフト
[00:11:05] ちゃってるのでアーマチュアと体をシフト 選択してからコントロールタブでウェイト
[00:11:08] 選択してからコントロールタブでウェイト ペイントモードに入っ
[00:11:10] ペイントモードに入っ て調整したいボをシフトクリックで選択し
[00:11:14] て調整したいボをシフトクリックで選択し ますそしたら足のボのウェイトがだいぶ上
[00:11:18] ますそしたら足のボのウェイトがだいぶ上 の方まで乗ってるなっていうのが分かり
[00:11:19] の方まで乗ってるなっていうのが分かり ますよねなのでえっとツールのところ開い
[00:11:24] ますよねなのでえっとツールのところ開い てブレンドをサブトラクト引き算にして
[00:11:27] てブレンドをサブトラクト引き算にして あげて
[00:11:29] あげて こうやって消していくんですけどちょっと
[00:11:32] こうやって消していくんですけどちょっと 一旦戻ってオプションのところでオート
[00:11:35] 一旦戻ってオプションのところでオート ノーマライズにチェックを入れておくと
[00:11:37] ノーマライズにチェックを入れておくと 自動で全部の頂点グループのウェイトを
[00:11:40] 自動で全部の頂点グループのウェイトを 合計して1になるようにしといてくれます
[00:11:43] 合計して1になるようにしといてくれます 1になってないと分かりづらいしなん
[00:11:45] 1になってないと分かりづらいしなん やかんやでエラー入ったりするのでオート
[00:11:48] やかんやでエラー入ったりするのでオート ノーマライズにチェック入れた状態
[00:11:54] でいらない足足でそんな動かなくていい だろうなみたいなところ消していきます
[00:12:01] だろうなみたいなところ消していきます どこに頂点あるか分かりづらい時にはウキ
[00:12:05] どこに頂点あるか分かりづらい時にはウキ で頂点マスクモードオンにしてからAで全
[00:12:08] で頂点マスクモードオンにしてからAで全 選択するとどこに頂点あるかっていうのが
[00:12:11] 選択するとどこに頂点あるかっていうのが 分かりやすいかなと思い
[00:12:13] 分かりやすいかなと思い [音楽]
[00:12:19] ますどうしてもできない時があるんです けどアーマチュアモディファイアオフにし
[00:12:24] けどアーマチュアモディファイアオフにし たりするとできたりしますね点マスクも
[00:12:29] たりするとできたりしますね点マスクも モドがオンの状態だとボ選択できないので
[00:12:32] モドがオンの状態だとボ選択できないので Vキーでまた頂点マスク切ってからシフト
[00:12:35] Vキーでまた頂点マスク切ってからシフト クリックでボ選択してRで回転してって
[00:12:39] クリックでボ選択してRで回転してって いうので見てあげ
[00:12:42] ます手のウェイトの時にやったんですけど この全くウェイトが乗ってないところを
[00:12:49] この全くウェイトが乗ってないところを 真っ黒に表示するにはここのビューポト
[00:12:52] 真っ黒に表示するにはここのビューポト オーバーレイのメニューのところのゼロ
[00:12:54] オーバーレイのメニューのところのゼロ ウェイツアクティブっていうところを
[00:12:56] ウェイツアクティブっていうところを チェック入れておいてあげてください
[00:12:59] チェック入れておいてあげてください 足音で動く範囲的にはおかしくないかなと
[00:13:02] 足音で動く範囲的にはおかしくないかなと 思うんですけど急激な変化でカクッと変化
[00:13:05] 思うんですけど急激な変化でカクッと変化 しちゃってるので
[00:13:08] しちゃってるので うんと一旦オブジェクトモード戻ってから
[00:13:12] うんと一旦オブジェクトモード戻ってから 編集モードでこのアーマチャー
[00:13:15] 編集モードでこのアーマチャー モディファイアの四角と三角のところオン
[00:13:18] モディファイアの四角と三角のところオン にし
[00:13:19] にし たら編集モードでも動いてる範囲っていう
[00:13:22] たら編集モードでも動いてる範囲っていう のが確認できるんですね
[00:13:25] のが確認できるんですね でガクって急激な変化してそうだなって
[00:13:29] でガクって急激な変化してそうだなって いうところを頂点選択してあげ
[00:13:33] いうところを頂点選択してあげ てウェイトペイントモードでVKで頂点
[00:13:37] てウェイトペイントモードでVKで頂点 マスクオンにするとさっき編集モードで
[00:13:39] マスクオンにするとさっき編集モードで 選択してた部分が表示されると思います
[00:13:42] 選択してた部分が表示されると思います この状態でベイトのメニューの中の
[00:13:45] この状態でベイトのメニューの中の スムーズスムーズってしてあげて左下の
[00:13:50] スムーズスムーズってしてあげて左下の デフォーポーズボーンズってなってる
[00:13:52] デフォーポーズボーンズってなってる ところを確認してここのファクターを上げ
[00:13:55] ところを確認してここのファクターを上げ てあげると今選んでる頂点のを滑らかにし
[00:14:00] てあげると今選んでる頂点のを滑らかにし てくれるようにスムーズをかけてくれ
[00:14:06] ます足をこれくらい上げてみて
[00:14:13] うーこの股の部分も ちょっとスムーズかけてもいいかなって
[00:14:20] ちょっとスムーズかけてもいいかなって いうので選んであげてベイトのスムーズで
[00:14:25] いうので選んであげてベイトのスムーズで ちょっと顔つきはなくなったかなと思い
[00:14:27] ちょっと顔つきはなくなったかなと思い ますイテレーションっていうのはげても
[00:14:29] ますイテレーションっていうのはげても その何回もブラーかけてくれるような感じ
[00:14:32] その何回もブラーかけてくれるような感じ になってくれます
[00:14:34] になってくれます ねこの辺りも開いてみようか
[00:14:41] なついているところ選んでスムーズうん ちょっと変形は良くなったかなと思います
[00:14:49] ちょっと変形は良くなったかなと思います スムーズ私はよく使うのでクイック
[00:14:52] スムーズ私はよく使うのでクイック フェバリットていうのに入れてます入れ
[00:14:54] フェバリットていうのに入れてます入れ たかったら右クリックからADtoクック
[00:14:57] たかったら右クリックからADtoクック フリットっていうのを入れあげて
[00:15:00] フリットっていうのを入れあげて ください肩を上げてみると
[00:15:03] ください肩を上げてみると だいぶ体の方もついてきてるのでそこも
[00:15:07] だいぶ体の方もついてきてるのでそこも 直してあげようと思い
[00:15:09] 直してあげようと思い ますシフト選択してウェイトペイント
[00:15:13] ますシフト選択してウェイトペイント モードに入ってでシフトクリックで
[00:15:17] モードに入ってでシフトクリックで ショルダーを選んでこんなに持ってなくて
[00:15:21] ショルダーを選んでこんなに持ってなくて いいかなっていうの
[00:15:23] いいかなっていうの でまいらないだろうなっていうところの
[00:15:27] でまいらないだろうなっていうところの ウェイトは切て
[00:15:29] ウェイトは切て 引き算ブラシで
[00:15:32] 引き算ブラシで どんどん消していってあげ
[00:15:34] どんどん消していってあげ [音楽]
[00:15:43] [音楽] ますパアームにもだいぶベイトが乗ってる
[00:15:47] ますパアームにもだいぶベイトが乗ってる 感じがするのでこの辺いらなそうかなって
[00:15:52] 感じがするのでこの辺いらなそうかなって いうところはとりあえず消して置いてあげ
[00:15:56] いうところはとりあえず消して置いてあげ ます消した上で付きが激しいなってなっ
[00:16:01] ます消した上で付きが激しいなってなっ たら後でさっきのスムーズかけてあげ
[00:16:03] たら後でさっきのスムーズかけてあげ るっていう感じですねさっきやった
[00:16:06] るっていう感じですねさっきやった スムーズ使ってもいいですしこのブラーっ
[00:16:09] スムーズ使ってもいいですしこのブラーっ ていうの使っても大丈夫です
[00:16:12] ていうの使っても大丈夫です ねシフトスペースでブラシの種類変えれる
[00:16:15] ねシフトスペースでブラシの種類変えれる のでそこでブラーっていうの選んであげて
[00:16:20] のでそこでブラーっていうの選んであげて くださいガクって急激に変化してるところ
[00:16:23] くださいガクって急激に変化してるところ はブラーかけてあげるといいんじゃないか
[00:16:25] はブラーかけてあげるといいんじゃないか なと思います
[00:16:40] 肩はちょっとおかしい感じします ねアッパーアームを動かしたらこの頂点
[00:16:46] ねアッパーアームを動かしたらこの頂点 あんま動いてないこっちがめっちゃ動いて
[00:16:48] あんま動いてないこっちがめっちゃ動いて るっていう感じ
[00:16:50] るっていう感じ でおかしいとここういう風に見つけてあげ
[00:16:53] でおかしいとここういう風に見つけてあげ たらこの辺選んであげてライトペイント
[00:16:57] たらこの辺選んであげてライトペイント モードで点マスクにしてからスムーズって
[00:17:02] モードで点マスクにしてからスムーズって かけてあげるといい感じになってくれ
[00:17:07] ます一旦ポースリセットし
[00:17:13] て肘曲げてみるともう全然割りが足りない なっていう感じがします
[00:17:20] なっていう感じがします ねこれも曲げながらだとどこに足したら
[00:17:23] ねこれも曲げながらだとどこに足したら いいかっていうのがすごく分かりやすいの
[00:17:25] いいかっていうのがすごく分かりやすいの でこ
[00:17:27] でこ [音楽]
[00:17:28] [音楽] で選んで右クリックサブディバイドとかっ
[00:17:32] で選んで右クリックサブディバイドとかっ てしてあげると割が足りないところに的確
[00:17:36] てしてあげると割が足りないところに的確 に割を足してあげられるんじゃないかなと
[00:17:39] に割を足してあげられるんじゃないかなと 思い
[00:17:42] ますメイト確認してみ [音楽]
[00:17:49] [音楽] てアッパーアームのウェイトこの辺も
[00:17:52] てアッパーアームのウェイトこの辺も ちょっと足してみましょうかフレンド
[00:17:56] ちょっと足してみましょうかフレンド をアにしてから
[00:18:00] をアにしてから [音楽]
[00:18:04] [音楽] アッパーアームのウェイトこの辺に足して
[00:18:07] アッパーアームのウェイトこの辺に足して あげると肘のカクッとした感じが出るかな
[00:18:10] あげると肘のカクッとした感じが出るかな と思いますまこれはちょっとカクっとし
[00:18:12] と思いますまこれはちょっとカクっとし すぎなの
[00:18:14] すぎなの [音楽]
[00:18:17] でまたムーズかけ てアクターっていうのをちょっといじって
[00:18:25] てアクターっていうのをちょっといじって あげてちょっとだけスムーズかけてみたい
[00:18:29] あげてちょっとだけスムーズかけてみたい な風になってたらいいか
[00:18:30] な風になってたらいいか [音楽]
[00:18:34] [音楽] な
[00:18:35] な ああ石がなんとなくこう四角っぽく見え
[00:18:39] ああ石がなんとなくこう四角っぽく見え てるのでこことここもちょっとスムーズ
[00:18:42] てるのでこことここもちょっとスムーズ かけてみますねスムーズかけてファクター
[00:18:47] かけてみますねスムーズかけてファクター 上げ
[00:18:48] 上げ て
[00:18:49] て うんこれでいい感じに三角化してあげたら
[00:18:53] うんこれでいい感じに三角化してあげたら これでよさげな気がしますね
[00:18:59] これでよさげな気がしますね あとは元の割の位置を調整してみてもいい
[00:19:03] あとは元の割の位置を調整してみてもいい かも
[00:19:06] かも うんと編集モード
[00:19:08] うんと編集モード で三角のところを振っておいてやると元の
[00:19:13] で三角のところを振っておいてやると元の 形状で頂点を移動したりしつつ変形した時
[00:19:17] 形状で頂点を移動したりしつつ変形した時 の形も分かるの
[00:19:20] の形も分かるの [音楽]
[00:19:24] [音楽] でこういう風にチで繋いだらどうなるかな
[00:19:28] でこういう風にチで繋いだらどうなるかな とかっていう形も分かりますよ
[00:19:32] とかっていう形も分かりますよ ねこことここもJで繋ぐっていう風にやっ
[00:19:36] ねこことここもJで繋ぐっていう風にやっ てあげ
[00:19:39] [音楽] てこの目もえぐれてるので三角貸しておき
[00:19:54] てこの目もえぐれてるので三角貸しておき ます腕をこう内側に曲げた時にうの内側が
[00:20:00] ます腕をこう内側に曲げた時にうの内側が えぐれた感じになってるんですけどここの
[00:20:03] えぐれた感じになってるんですけどここの 上とどうなってるのかなっていうの確認
[00:20:06] 上とどうなってるのかなっていうの確認 する方法レイトペイントモード以外にも
[00:20:08] する方法レイトペイントモード以外にも あって点選んでアイテムのところのえっと
[00:20:14] あって点選んでアイテムのところのえっと 頂点ウェイトっていうところ見ても大丈夫
[00:20:17] 頂点ウェイトっていうところ見ても大丈夫 ですねこれ例えば0.50.5とかにする
[00:20:21] ですねこれ例えば0.50.5とかにする とこうなるのかまどっちにしろこんだけ
[00:20:23] とこうなるのかまどっちにしろこんだけ ロポリだとえぐれるんですよねなのでこの
[00:20:28] ロポリだとえぐれるんですよねなのでこの 辺のエッジ選んでリゾルブして消してあげ
[00:20:33] 辺のエッジ選んでリゾルブして消してあげ てもいいかも
[00:20:35] てもいいかも ですそうすると痩せる感じはなくなります
[00:20:39] ですそうすると痩せる感じはなくなります よ
[00:20:41] ねこの辺をスライドしてもうちょっと幅 寄せておいてあげよう
[00:20:50] か曲げるとこんな感じです [音楽]
[00:20:57] [音楽] ねしにになるようにJで繋いでおいてあげ
[00:21:01] ねしにになるようにJで繋いでおいてあげ [音楽]
[00:21:07] ますこういう風に本を変形させた状態で 編集モードでその気になる頂点選んでこの
[00:21:16] 編集モードでその気になる頂点選んでこの 辺をこうスライドし
[00:21:20] てちょうどいいところを探ってあげても いいと思います最終的にノーマライズって
[00:21:26] いいと思います最終的にノーマライズって やってあげたら両方合計しで1になるよう
[00:21:29] やってあげたら両方合計しで1になるよう に正規がしてくれ
[00:21:31] に正規がしてくれ [音楽]
[00:21:33] [音楽] ます手首の関節
[00:21:36] ます手首の関節 はこの手側で指定したウェイトをこっちと
[00:21:41] はこの手側で指定したウェイトをこっちと こっちにも同じウェイトを指定して
[00:21:43] こっちにも同じウェイトを指定して あげようかと思います
[00:21:49] うんと手の方のウェイト確認してみると 一部ノーマライズできてないところがあ
[00:21:55] 一部ノーマライズできてないところがあ るっぽいのでウェイトペイントモードで
[00:22:02] うんとノーマライズオールってやってあげ ますロックアクティブのチェックは外して
[00:22:08] ますロックアクティブのチェックは外して おき
[00:22:10] おき ますその上でこの切合部のところの
[00:22:13] ますその上でこの切合部のところの ウェイト確認するとハンド0.5ローア
[00:22:16] ウェイト確認するとハンド0.5ローア アーム0.5っていうウトになってるので
[00:22:19] アーム0.5っていうウトになってるので これと同じようにこっちの方でもぐるっと
[00:22:23] これと同じようにこっちの方でもぐるっと ループ選択してえっと親指のウェイトも
[00:22:27] ループ選択してえっと親指のウェイトも 乗ってるっぽいのででリムーブしてあげ
[00:22:31] 乗ってるっぽいのででリムーブしてあげ てアンのand.Lに0.5のウェイトを
[00:22:37] てアンのand.Lに0.5のウェイトを アサインするとローアアームのウェイトに
[00:22:40] アサインするとローアアームのウェイトに も0.5アサインするでやってあげると
[00:22:45] も0.5アサインするでやってあげると とりあえず切合部はくっついて動いて
[00:22:48] とりあえず切合部はくっついて動いて るっぽいんですけどめちゃくちゃ痩せた
[00:22:50] るっぽいんですけどめちゃくちゃ痩せた 感じになっちゃったりとか手の方もカクッ
[00:22:53] 感じになっちゃったりとか手の方もカクッ と変形したりしてるのでうんとまずは腕の
[00:22:57] と変形したりしてるのでうんとまずは腕の 方に
[00:22:59] 方に 旦三角と四角のところフっておいてから
[00:23:04] 旦三角と四角のところフっておいてから コントロールRでループ追加してちょっと
[00:23:07] コントロールRでループ追加してちょっと 手の近くに持ってきてあげ
[00:23:10] 手の近くに持ってきてあげ ますこの状態で確認してみるとうんこんな
[00:23:14] ますこの状態で確認してみるとうんこんな 感じですねまあんまり悪くないか
[00:23:18] 感じですねまあんまり悪くないか などうだろうちょっと痩せてはいる
[00:23:22] などうだろうちょっと痩せてはいる けどウェイト的には大体ハンドに0.25
[00:23:26] けどウェイト的には大体ハンドに0.25 ローアームに0.75くらいのてるっぽい
[00:23:29] ローアームに0.75くらいのてるっぽい です
[00:23:31] ねハンドの方も同じようにかくってなっ てるところはスムーズかけてあげましょう
[00:23:38] てるところはスムーズかけてあげましょう か例えばこの
[00:23:41] か例えばこの 辺こっからこことかかくってなってるの
