[00:00:00] では次は髪表示させて
[00:22:06] 隣の色を拾っちゃったりとかして問題が
[00:22:10] ありますので
[00:22:13] 解像度とかにもよりますね
[00:22:16] なんかゲームのモデルだともうみっちみち
[00:22:19] に締めたりとか
[00:22:22] めっちゃめちゃね敷き詰めたりして
[00:22:26] できるだけ全く無駄がないようにしたり
[00:22:29] するんですけど今回作るvrmのモデル
[00:22:33] だったらこんな感じの
[00:22:35] UV展開でいいんじゃないかなと思います
[00:22:37] よしこれで髪はひとまず完了ということに
[00:22:40] したいと思います次は顔にまた戻って顔の
[00:22:45] UV整理してあげようと思います
[00:22:48] [音楽]
[00:22:50] の猫耳もひとまずUV展開してみます
[00:22:55] とこの表と裏を分けるようなところを
[00:23:01] どんどんCM入れていってあげて
[00:23:08] とここここここ
[00:23:12] [音楽]
[00:23:14] でコントロール
[00:23:16] マークシームしてあげて
[00:23:19] Lで選んで色で展開
[00:23:22] こんなもんだろうっていう感じですね
[00:23:25] 毛の方もなんかあんまり目立たなそうな
[00:23:29] ところに
[00:23:31] 裏側とかほとんど見えなさそうだし
[00:23:36] 目立たなそうなところ適当に選んで
[00:23:40] コントロール
[00:23:41] マークシームってしてあげますでもう一回
[00:23:44] Aで選んで家で展開
[00:23:48] この
[00:23:49] 濃いって広がってるやつが1本のケースに
[00:23:51] こんなに広がる必要ない気がするけどこの
[00:23:55] 細かい毛とかにどれくらい色塗るかにも
[00:23:59] よるんですけどもともと見えてないところ
[00:24:01] だし多少
[00:24:04] グラデーションとかしてあげるだけだっ
[00:24:05] たらこんなに解像度要らないから
[00:24:09] グッスルスのレクティファイとかやってみ
[00:24:12] ましょうかレクティファしたらこの三角化
[00:24:15] されてるところうまく展開されないんだ
[00:24:17] けど
[00:24:18] 一旦うまくいったところだけピン留めして
[00:24:21] for
[00:24:23] Uで展開し直すといい感じにピッと
[00:24:26] くっつけてくれます
[00:24:29] これも
[00:24:31] エクティファイして
[00:24:33] ピン留めして両方
[00:24:36] 選択して
[00:24:37] Uで展開
[00:24:40] 他でも同じようにやってありますね
[00:24:42] [音楽]
[00:24:46] 無駄に伸びてるところは直してあげるあと
[00:24:50] なんか横長すぎるなと思ったら出番を見て
[00:24:54] あげる
[00:24:54] [音楽]
[00:25:05] あと3本
[00:25:14] [音楽]
[00:25:19] 耳にも顔と同じマテリアル割り当てておき
[00:25:21] ます
[00:25:23] この細かい桁は全部選んでからですね
[00:25:27] 島選択モードにしておいて
[00:25:30] ソートHとかってやってあげるとわーって
[00:25:34] 綺麗に並べてくれますライラ詰まってる
[00:25:37] ところは
[00:25:40] 直してあげますね
[00:25:43] [音楽]
[00:25:49] 耳のUVはこんな感じでいいかなと思い
[00:25:51] ますあとは顔の
[00:25:54] UVと一緒にして綺麗に並べてあげますね
[00:25:58] [音楽]
[00:26:02] 耳毛は一旦ちょっとちっちゃくして端っこ
[00:26:04] を置いておいて
[00:26:06] と顔と目と
[00:26:09] 口の中と
[00:26:12] 耳
[00:26:13] 向けこれだけ選んで同じUVに入れたい
[00:26:17] やつらですねそれ選んで編集モードでこの
[00:26:21] 四角の中に収めていきます
[00:26:25] [音楽]
[00:26:41] あとしたとかもっとちっちゃくてもいいか
[00:26:44] も
[00:26:48] [音楽]
[00:27:11] 結構あんま塗らんとして
[00:27:15] めっちゃちっちゃくしちゃおうかなぁ
[00:27:16] [音楽]
[00:28:16] こんな感じでいいかなお顔と
[00:28:20] 耳はこんな感じで展開してあげました次は
[00:28:24] 肌とか服とかをやっていこうと思います
[00:28:27] [音楽]
