[00:00:00] 目でだいたい花王の外径はできたので今度 は目とかまつ毛とかを作っていこうと思い ますじゃあまずは目を作るとして シフトAからメッシュUV機を追加して RX90で真ん前を向かせてあげます
[00:04:30] スラッシュでまつ毛だけ表示するとこんな 感じですね [音楽] 今ここが三角みたいな感じになってるん ですけどここは
[00:04:46] 穴を埋めていってあげましょう FFFで穴を埋めてあげて 今これがすごく薄っぺらい感じのまつげに なってるんですけどコントロール Rでループ追加して
[00:05:02] ボルトSで膨らましてあげたらちょっと だけ厚みが出てくれて 断面はこういう風に ダイヤモンドみたいな形になってますね 今膨らましてあげたところもシフト入れ
[00:05:16] クリースかけておいてあげましょうか ノブでビジョンをオンにするとこんな感じ ですね 一番下の部分は Sでキューってなくしておいてあげたら
[00:05:31] いいかな [音楽] 一番目頭に近い部分も Sでキュッとちっちゃくして 穴開いてんだけどあまり空いてることが
[00:05:51] わかんないぐらいにしておきます [音楽] でだいたい下絵に形合わせてあげてこんな 感じですねあと目尻はもうちょっと [音楽]
[00:06:10] こんな感じの形になってるぽいのでそれに 合わせて [音楽] 5とこの 面削除して
[00:06:22] ちょっと三角形になっちゃうけどこういう 風に 面を張ってあげたらいい かもねここグリースかけてこんな感じ フィットしてますね
[00:06:34] [音楽] これもちょっとこっちにずらしてあげると [音楽] いい感じかも目頭は 不穏な形にしておいたらいいかなと思うの
[00:06:51] で な一旦コントロールRでこの辺りにループ 追加しておいてから 一番端っこのループをこのアクティブな 部分に
[00:07:09] アクティブな部分に対してギュッと ちっちゃくしたいのでピボットポイント 一旦アクティブエレメントにしてからS デッキを [音楽]
[00:07:19] ぎゅーっとちっちゃくして顔に被らない ようにちょっとだけ外に出してあげます [音楽] 穴は埋めないんだけど キュフってだいぶちっちゃくしておきます
[00:07:29] ね 形を調整すると [音楽] うんこんな感じですね [音楽]
[00:07:43] 今度はちっちゃいピョイっていうまつげも 作ってあげましょうか このあたりの辺を選択してシフトDで 複製 フリースはオフにして
[00:07:58] いいYで前に押し出しするSであピボット ポイントはメディアポイントに戻してき ますねSでちっちゃくしてコントローラー Rでループを横に追加してGセットで ちょっとだけくるんってするように変更し
[00:08:16] てあげます もうちょっと横幅ちっちゃくてもいいかも ですねちっちゃくして [音楽] 真ん中にはコントロールRでループ追加し
[00:08:27] て [音楽] 下にもちょっとだけくるんとなるようにし てあげます [音楽]
[00:08:41] でこの横端をFで面張ってFで面張って これで細いまつげできましたね 横端の ループはクリースかけておくといいかも そうするとちっこいまつげができましたね
[00:08:58] [音楽] これを出るで選択して 2で動かして [音楽] RRでくるくるっと回転できるので
[00:09:13] うーんだいたいの位置に持ってきておい たらいいかなもうちょっと 幅がある感じがするなこんな感じ [音楽] だいたい下へと印象が合うようにまつげを
[00:09:40] 配置してあげますこの [音楽] 太い方のまつげに細い方のまつげを ぶっさす感じですね したらLで今作った実際まつげを
[00:10:00] 選択してシフトDPF複製して他のまつ毛 も配置してあげますこんな感じかな [音楽] ここで面の向きを確認してみるんですけど ここの右上のビューポートオーバーレイの
[00:10:37] メニューの中のベースオリエンテーション ですねこれをオンにすると 面の向きが確認できます 面が裏返ってるところが赤くなっている ところですねまつげ全体目が裏返ってるの
[00:10:48] で [音楽] 編集モードでAで全選択してボルトNで 後世のメニューを出してフリップですると 面を裏返してくれる正しい向きにしてくれ
[00:11:02] ますね 目の向きの確認も私は個人的によく使うの で クイックFavoriteっていうのに 入れてますこのチェックのところを右
[00:11:15] クリックして adotoクイックフェイバリットかな そういうのがあると思いますできたら9 ってやるとクイックFavoriteって いう
[00:11:25] お気に入りツールみたいなのが出てくるの でそこにワイヤーフレームとかフェイス オリエンテーションとか入れておくと作業 がやりやすいかなと思いますまあお好みで ですね
[00:11:39] たら オブジェクトモードでシェードオートスム スってやるとこうなってますね [音楽] したら今度は
[00:11:58] 眉毛を作ってあげますね [音楽] 眉毛はこの辺りの辺を複製しますシフトD で 複製して
[00:12:11] [音楽] いいで押し出して [音楽] 眉尻の方にいいでお知らせして [音楽]
[00:12:28] だいたいの位置に合わせてあげる こんな感じですね 眉尻もうちょっと奥に持ってきてあげる だいたい顔にふんわりかぶるくらいにして おくといいと思います
[00:12:45] この二重線も同じようにポリゴンで作って おこうと思います 眉毛を色で選択してシフトBで複製して [音楽] どのくらいかな
[00:13:04] で目からあんまり離れすぎないくらいの ところに配置しておきますねもうちょっと こう 枠の部分は 投げておくといいかな
[00:13:19] [音楽] 下から見た時にちょっとだけ とカーブがかったようなぐらいにしておき ます [音楽]
[00:13:31] この辺まで進めたところでこの 子本当に可愛くできるのかなーってすごく 不安になるかなと思うんですけど1回 テクス書いてみて雰囲気を確かめてみよう と思います
[00:13:47] 簡単にアリでUV展開して借り入れ テクスチャを書いてあげるという感じです ね まずUV展開するためにシームを入れて あげます
[00:13:57] 歯茎で編集モード入ってALTクリックで コントロールいマーク CM 口のところもコントロールEでマーク シーム
[00:14:12] 青の前側と 後ろ側を分けるような感じで そうだな首の付け根のところも こんな風に チーム入れてあげたらいいか
[00:14:31] な新しい [音楽] ウィンドウ作って UVエディター開いてページ全選択して Uで
[00:14:41] 展開 もうできましたね [音楽] ありでテクスチャ書いてあげる分だったら こんくらいで全然いいと思います
[00:14:54] まつ毛もやっておこうかえいじ先生選択し て まつ毛はビューから投影のやり方でもいい かもですね ケージ全部選択して
[00:15:07] Uで プロジェクトフロムビューやると今見てる ところから 投影するような感じで展開してくれるので 遅いまつげだけちょっとかぶらない位置に
[00:15:20] ヘッドをしませんたくモードにしてから こういう風に 移動しておきますねあとは顔も洗濯して まつ毛が邪魔にならないうちに 顔と被らない位置に持ってきておいてあげ
[00:15:39] て これが眉毛と二重線だな それとこれもわりと近くに持ってきておい てあとメモ同じテクスチャにやろうと思う のであんまり
[00:15:52] 解像度必要なさそうな 口の中とか 白目の部分 もうちょっとこっちの方にずらしておき ますね
[00:16:08] [音楽] あと顔もぐるっとこっち向きにしておき ましょう 頭の後ろはあんまり海藻といらなそうだ から
[00:16:20] 節約すると [音楽] 目をまあこの辺りに持ってこようかなと 思います [音楽]
[00:16:33] 目はシェードスムースし忘れてたので シェードスムーズしておいて食べて編集 モード入っていう 展開と オブジェクトはずの運用リフォーム
[00:16:46] スケール」って出てきたので うーんとコントロールAからスケールを 適用しておきましょうかこれでUで もう一回展開するとこうなりますね 目の下の部分がここだから
[00:17:04] ここですねもうちょっと高温くらい傾けて おいてあげたらいいかな [音楽] ちっちゃくして オブジェクト
[00:17:16] [音楽] 複数選択した状態で入手モード入るとこう いう風に他のオブジェクトのUVも同時に 確認できるので 青と被らないくらいの位置のところに展開
[00:17:29] しておきますこの辺にも空間空けておいて これをハイライト書くように置いておき ますね とテクスチャペイントモードに 移動して
[00:17:43] [音楽] ここですねツールのビューのノー テクスチャースってなってるところプラス でベースカラーのテクスチャー追加して エース
[00:17:57] 添付とかでいいかな 解像度が2048×2048 と思います ジェネレートタイプ プランクにしてOKとこれで乗る準備は
[00:18:11] OKですね まずはバケツツールで肌を全部塗っちゃい ましょう 塗るときにオプションの ブリード2mmってなっあ2pipsって
[00:18:26] なってるところをマックスの8にしておく と [音楽] これか ここが今この教会ギリギリのところに塗ら
[00:18:39] れてるんですけど8ピクセルにしておくと もうちょっと先まで塗ってくれます [音楽] でえーっと Mキーでメンマスクモードっていうのは
[00:18:57] できるんですけどその状態で目の白目の ところ らへんにカーソル持ってきてエルって押す と目の中だけをシームで切ってる目の中 だけ選択できるのでこの状態で目の白い
[00:19:11] 部分塗ってあげましょうかこの 絵の方のところにカーソル持っていってS って押すとここの色がスポイトできるので Sで目の色拾ってクリックで塗ってあげる あんまり色の変化わからないけど
[00:19:29] 口の中も またオルトAで 選択解除してから口の中らへんにマウス カーソル持ってきてL で
[00:19:43] [音楽] Sで色を拾ってクリックで塗ってあげる ちょっとずつ塗れてきてますね [音楽] あとは眉毛
[00:19:57] [音楽] 眉毛と [音楽] 一旦タブキーで編集モードに入ってから [音楽]
[00:20:11] 眉毛 を選択したい 眉毛とこの二重線のところ頂点を 選択してからコントロールエルってやると 選択してる部分につながってる部分だけ
[00:20:25] 選択できるので こうしてからテクスチャペイントモードに 入ると 眉毛と 二重線だけ塗れるようになるのでこれで
[00:20:36] 紫っぽい色で いいや塗ってあげます 塗れましたね そしたら今度はほっぺとか塗ってあげ ましょうか
[00:20:49] 今バケツ塗りモードなんですけど普通の ブラシモードにしてSで色を拾っ 強さは結構弱めにしておいてあげたいかな これでまたオルトAで選択解除して 肌部分だけLで選択してから
[00:21:10] クリックだらだらってやってポポポイと まだほっぺらへんを塗ってあげます [音楽] あとは目の中の 影部分を塗っといてあげましょうかALT
[00:21:29] Aで選択解除して Lで目の中だけ洗濯してSで目の影の色 拾ってから [音楽] 今度は強さちょっと1にしておきますね
[00:21:45] リフでブラシサイズ変更して うすうす [音楽] とこっち見るとあんま塗れてないところ あるので左側の2Dビューのところで塗っ
[00:22:01] てあげても大丈夫ですねこんな感じかな [音楽] 今んとここんな感じですね 仮なのでとりあえず 適当にやっておきます
[00:22:16] 顔の塗りはだいたいこんな感じですかね 鼻のツンっていうのも塗っといてあげ ましょうか [音楽] 拾って
[00:22:31] [音楽] トントントンピアノだけ書いてあげました こっちの周りを書いてあげてもいいかなぁ その周りもちょっとテスタで書いてあげて もいいかもしれないですね
[00:22:54] [音楽] 仮なのでね 雰囲気見るためだから [音楽] 適当にやっておきます
[00:23:07] じゃあまつげとかも同じテクスチャ使い たいのでまつげ目でシフト選択で最後に顔 を選択してから コントロールで リンクマテリアルスってやってあげます
[00:23:20] そうすると同じバッテリーある同じ テクスチャが使えるようになるので [音楽] それで今度まつ毛洗濯して [音楽]
[00:23:34] テクスチャペイントモードに入って 一旦バケツ塗りで [音楽] 紫に塗ってあげてからちょっとだけブラシ で色拾いながら
[00:23:49] うすすっとちょっとだけ色変えておきます [音楽] ここになんか 切れ込みみたいなが入ってますね 切れ込み作るの忘れてたからそれは後で
[00:24:09] 作るとしましょうあとは目ですね では一旦ハイライト以外をここに書いて あげようと思いますテクスチャペイント モード入って えっとここのブラシメニューっていうのは
[00:24:28] シフトスペースで出せるのでシフト スペースでブラシメニュー出して フィルバケツ塗りモードを選んで目の色 拾ってクリック でブラシモードにしてから
[00:24:46] [音楽] [笑い] [音楽] さあ今度は えーっと目のオブジェクト選択してタブ
[00:25:10] キーで編集モードに入ってからこの目の メッシュAで全選択してシフトDで 複製しますでその後すぐYを押すと複製し たものちょっとだけ前に動かせるので この目にかぶるような感じのところに配置
[00:25:29] してあげます目よりちょっと前のところ そしたらそのまま UVを 移動させたいので UVエディテイティングのタブに移動して
[00:25:42] これをGX横にずらしてあげます これで他と被んないところにいますよねそ したらテクスチャペイントモードに戻って 一旦これを 完全に透明の状態にしてあげます
[00:26:00] とシフトスペースで バケツ塗りのモードにしてから ブレンドってなってるところを リレースアルファっていうのにしてあげ ますこれでクリックするとおっと音の目で
[00:26:15] 消えちゃったからコントロールセットで 戻って Mキーでメンマスクモードにして ハイライトだけが選択されてる状態で クリックですると今手前にある部分だけが
[00:26:28] 安全に透明になりましたねこれでそのまま ハイライトっぽいものを塗ってあげます [音楽] [拍手] [音楽]
[00:27:00] あとはこのミックスのところを 破産アドとかにしてもいいかもです オブジェクトモード戻ってみるとこんな 感じですねこれでシェーディングを フラットにするとこんな感じ
[00:27:22] まぁさっきねテクスチャがなかった状態 よりだいぶ可愛く見えてきたのではない ですかどうですか 首の下のところも色がついてた方が ちょっと分かりやすいと思うから
[00:27:41] 目の下のところも塗ってた方が多分 顎との境目がわかりやすいと思うから 塗っておくといいかもしれない [音楽] これでまたいろんな角度から見ながら調整
[00:28:03] するといいと思います で塗った画像はですね 忘れないように保存しておきましょう イメージからセーブアズ イメージセイバーズから名前をつけて保存
[00:28:20] しておきましょうこのテクスチャに変更を 加えた後はALTSALTSってやったら 画像を [音楽] 上書き保存してくれます
[00:28:31] [音楽] 血の形はちょっとだけオメガっぽくなる ようにしてあげようかなぁ [音楽] 口全体もうちょっとちっちゃくしてもう
[00:29:08] ちょっと上の方にしてあげようかなと思い ます このまま真上にやっちゃうとこんな感じに なっちゃうので横から見ながら このかごと鼻をつなぐラインに沿ったよう
[00:29:25] な感じでこう斜めに移動してあげるのが いいかなと思います [音楽] えいやっとちょっと上に上げて 横幅縮めたいので
[00:29:38] ピボットポイントアクティブエレメントに して 真ん中の部分がアクティブになるようにし てからSXでキュッと縮めてあげる よくちっちゃくなりましたねうんこん
[00:29:54] くらいのイメージかなととたんが 閉じてるのは [音楽] 色つけた状態で 参考画像と見比べながら
[00:30:18] 雰囲気を寄せていってあげたらいいかなと 思います 捨ててたんですけどこのまつげのいって いう部分 分かれ目みたいなの作ってなかったので
[00:30:29] それ作りましょうか まつ毛洗濯して 一旦コントロールRでループ追加して 5Vで切ってあげる [音楽]
[00:30:44] そうするとここに 面がなくなっちゃうのでFで目貼ってFで [音楽] 面を 貼って
[00:30:56] [音楽] でここのところはシフト入りグリースを かけてあげると [音楽] オブジェクトが多くなってきたのでこの
[00:31:10] 辺りでオブジェクト整理しておきましょう か まつ毛と顔はもう一緒にしちゃってもいい かないつでもまた分離できるし 2つともシフト選択してコントロールJで
[00:31:24] 一緒にしてあげる 名前はfaceとかにしておきましょうか オブジェクト名 プレーンこれが120cmの参考だよな いるかな一応残しておこうか120cm
[00:31:40] ピアーこれが目ですね目はアブ ディビジョン使ってないし顔とは別 オブジェクトにのままにしておきますはい とでコレクションはこの作業をするやつと それ以外の参考のものを分けるので分け
[00:31:57] たいので コレクションのところクリックして新しい コレクション 追加 で
[00:32:06] リファレンスとかって分かりやすい名前に しておいてから この辺りの 参考用のやつをシフト選択してドラッグし てポイントリファレンスのコレクションに
[00:32:19] 入れておきます いらない時はこの目のアイコンでね 非表示にしておけるしこれでいいかな ここは ワークスペースとかまあ何でもいいんだ
[00:32:31] けど作業バーみたいにしておきます [音楽] テクスチャの色表示させるとこんな感じ ですねこれで顔だいたいできますねお疲れ 様です
[00:32:46] [音楽]
