[00:00:01] ウェイトがだいたいできたところで次は
[00:10:06] してありますそしたらボワーって広がり
[00:10:10] ましたね
[00:10:11] そうすると今度は
[00:10:13] 歪みはあんまりなくなったけどこの辺とか
[00:10:16] あんまり塗らないところの解像度が
[00:10:19] めっちゃ大きくなってるのでこれを
[00:10:21] ちびちびと狭めてあげようと思います
[00:10:24] えーっとこの顔の前面あたりは
[00:10:29] [音楽]
[00:10:31] この辺りこの辺りの顔の前面はいらない
[00:10:34] ようにして
[00:10:36] ここからここからここっていう風に
[00:10:40] GGでエッジスライドとかできないんです
[00:10:42] けど
[00:10:44] 幅を狭めていってあげようと思います
[00:10:48] こっち見るとこんな感じめっちゃ伸びてる
[00:10:50] けどここそんなに解像度要らないから
[00:10:53] 狭めてあげてもいいかなと思います
[00:10:58] [音楽]
[00:11:36] とりあえずこんな感じでいいかなうーん
[00:11:40] 真ん中のところを揃えておきましょうか
[00:11:45] 1個頂点選んでシフトSでカーソル2
[00:11:48] セレクテッドにしてからこの真ん中の部分
[00:11:52] だけを
[00:11:52] [音楽]
[00:11:54] ウィット
[00:11:55] 選択してピボットポイント2Dカーソルか
[00:11:58] 数字かそれにしてからSX
[00:12:01] 0でやったら下の方のまっすぐになって
[00:12:04] なかったところも揃ってくれたかと思い
[00:12:06] ますそしたら忘れずピン留めしておき
[00:12:09] [音楽]
[00:12:12] 口のところも重なってると乗れなくなっ
[00:12:15] ちゃうのでこういう風に
[00:12:18] 重ならないようにしてあげるのとこういう
[00:12:22] 口のアウトライン
[00:12:24] 閉じてても多少出るようにテクスチャで
[00:12:26] 書いてあげようと思うので
[00:12:28] テクスチャで書くときに歪みが生じない
[00:12:31] ようにできたらまっすぐにしておこうと
[00:12:33] 思います
[00:12:35] ピボットポイントまたメディアとかに書い
[00:12:38] てからSY0でまっすぐにします選んで
[00:12:42] SY0
[00:12:45] 顔の前面はひとまずこんな感じでいいとし
[00:12:47] て
[00:12:48] [音楽]
[00:12:50] 折るとHで他の部分表示してから今度は顔
[00:12:53] の後ろ側もつなげてあげようと思います顔
[00:12:56] の前面まだいじりそうですけど一旦これで
[00:12:59] ピン留めしておきますね
[00:13:01] ALThで顔の背面も表示してあげて
[00:13:06] 一旦この肌部分だけ
[00:13:08] LLで選択しシフトhで他の部分非表示に
[00:13:12] してから
[00:13:16] ここの水門一度解除しますコントロールE
[00:13:20] でCMをクリアクリアシームしてデザイン
[00:13:26] 選択してUで展開をそうすると
[00:13:31] めっちゃでかい感じになりましたね
[00:13:34] 後ろの解像度も絶対こんなにいらないので
[00:13:37] これもちびちびとちっちゃくしていって
[00:13:39] あげますだいたい今の半分くらいの大きさ
[00:13:43] でいいんじゃないかなと思うのでこの端
[00:13:46] っこの部分のちょっと選んでグイって半分
[00:13:50] くらいの幅になるように
[00:13:51] [音楽]
[00:13:54] 移動してみますねお
[00:13:56] 礼が
[00:13:57] [音楽]
[00:13:58] あ今UVシンクオンにした状態だと
[00:14:02] 繋がってる頂点両方動いちゃうので
[00:14:04] オフにしておきます真似してオルト1で再
[00:14:08] 表示して
[00:14:10] これがここ
[00:14:14] これがこここれがここっていう風に半分
[00:14:17] くらいに
[00:14:19] 折り返してあげます
[00:14:19] [音楽]
[00:14:21] 今半分くらいに折り返してあげた頂点選ん
[00:14:25] でPで
[00:14:27] ピン留めしてからまたAで全然選択してU
[00:14:31] で展開してあげますそしたらまあさっきの
[00:14:34] 半分くらいの大きさになってくれたかな
[00:14:38] 歪んでるところ
[00:14:40] 歪んでそうなところを
[00:14:41] 動かして
[00:14:45] [音楽]
[00:14:47] 調整してあげます
[00:14:48] [音楽]
[00:14:55] UVエディターの上の方イメージとかUV
[00:14:58] とかってあるところにマウスのカーソル
[00:15:00] 持って行ってくるくるって
[00:15:03] ウィールくるくるするとの
[00:15:06] オーバーレイのメニューがあるんですけど
[00:15:08] UVエイジングディスプレイストレッチ
[00:15:11] チェック入れると
[00:15:12] 歪みがあるところがすごく分かりやすい
[00:15:14] です
[00:15:16] この辺とか
[00:15:19] 顎の下の方ですよね地域で左側にメニュー
[00:15:23] 表示させてリラックスっていうブラシ
[00:15:26] みたいなもの
[00:15:28] これでこうなぞってあげるとシュルシュル
[00:15:31] と歪みがない方向に多分動いてくれるん
[00:15:33] ですけどなんかまあ意図した感じじゃない
[00:15:36] 風に動くことも
[00:15:39] まあよくあるので私あんまり使わないです
[00:15:42] ね
[00:15:43] [音楽]
[00:15:44] この辺とか手動で
[00:15:47] [音楽]
[00:15:52] 鋳造で
[00:15:53] 3Dビューと似たような形になってると
[00:15:57] 歪みが少ない
[00:16:00] ということで
[00:16:03] 3Dビューと見比べながらあんまり歪みが
[00:16:06] ないように手動でいじってあげることが
[00:16:08] 多いですね
[00:16:10] この山の上の方とかは見えないんだろう
[00:16:15] からと思うんだけどこことかもくっつけて
[00:16:18] あげてもいいかも家まで回すアートセン
[00:16:21] ターってやってあげると
[00:16:23] くっついてくれますねまあ味
[00:16:25] [音楽]
[00:16:34] の先も歪んでますね
[00:16:36] [音楽]
[00:16:38] この
[00:16:42] [音楽]
[00:16:45] UVが真ん中からこう味の開きみたいに
[00:16:49] 左右に展開されるようにしたいので
[00:16:51] ミラーモディファイアのデータのところで
[00:16:55] ミラーユーにチェック入れてあげて
[00:16:59] またここスクロールして右の方のメニュー
[00:17:01] の
[00:17:02] オーバーレイの中のモディファイド
[00:17:04] エッジズにチェック入れてあげるとこの
[00:17:07] ミラーモディファイアで展開される
[00:17:10] 反対側のUVも確認することはできます
[00:17:12] [音楽]
[00:17:14] でこれが真ん中でピッとくっついてて
[00:17:17] 欲しいので
[00:17:18] GXでピーとこう目視で確認しながら
[00:17:21] 真ん中らへんに頑張って
[00:17:23] 移動した後にN
[00:17:27] キーでメニュー右上に表示させてこの
[00:17:32] イメージツールビューのビューのメニュー
[00:17:33] の中の2Dカーソルのロケーション
[00:17:36] Xっていうところ0.5にしてあげますそ
[00:17:40] したら2Dカーソルがこの全体の真ん中
[00:17:43] 0.5のところに来てくれて
[00:17:45] ピボットポイント2Dカーソルにしてから
[00:17:48] Bキーの方がいいかないいで真ん中を
[00:17:53] 頑張って選んであげてSX0ってやったら
[00:17:57] 真ん中のところでピッとくっついてくれ
[00:17:58] ますね他のパーツもあるから他のパーツ
[00:18:02] 表示させた後にやった方が良かったかも
[00:18:06] [音楽]
[00:18:19] 他のパーツも展開していきますね
[00:18:23] [音楽]
[00:18:25] 次はさっきやった顔の旗部分以外をやって
[00:18:28] いきますね
[00:18:30] ボタンエールでここだけ表示にしてまずは
[00:18:34] 白目から入れるで選択して正面から見
[00:18:38] ながら
[00:18:39] UでプロジェクトfromViewで
[00:18:42] 投影するような真正面から投影するような
[00:18:44] 形で展開してあげます今この辺とか重なっ
[00:18:48] てるからこう広げてもいいんだけど
[00:18:51] あー広げなくてもまあ濡れる気がするから
[00:18:55] 一旦このままにしておいて乗る時にもし
[00:18:58] 問題あれば直しましょうどうしよう
[00:19:04] これは眉毛と二重の線ですねでこれが
[00:19:09] 口の中ですね
[00:19:11] 口の中まっすぐ展開してみましょうか
[00:19:14] Nキーでテックスツールズのメニュー出し
[00:19:17] てテックスツールズのダウンロードリンク
[00:19:20] は概要欄で貼っておきますねダウンロード
[00:19:23] していただいてこれUVの同期がオンに
[00:19:26] なってると使えないのでオフにしてから
[00:19:29] こいつ
[00:19:30] Lで選択してレク
[00:19:33] ティファイっていうのやってあげます
[00:19:34] うーんそうなっちゃいますかうんできん
[00:19:37] ぽいので手動でやりましょうALT
[00:19:40] クリックでループ選択してSX0ピボット
[00:19:43] ポイントメディアンとかにしておいて
[00:19:45] くださいねSX0
[00:19:48] ここからここもSXJLにして
[00:19:56] うーんとここVで分離で分離
[00:20:03] してあげてここSY0でまっすぐします
[00:20:07] ここからここもSY0からここも
[00:20:15] [音楽]
[00:20:19] SY0
[00:20:21] でこんななんかめっちゃめんどくさいこと
[00:20:24] してるかって言うと
[00:20:27] 塗るときに裏とかこうまっすぐしてると
[00:20:31] 書きやすいんですよね
[00:20:33] そういうのやる必要ないよっていう人は
[00:20:36] これもやる必要ないですね
[00:20:39] ここもくっつけていいかS0でこれで多分
[00:20:45] 塗りやすいのではまた
[00:20:48] UV同期のところオンにしてあげて
[00:20:51] 選択してみるとここが奥のところですね
[00:20:54] 奥からこうだんだん前に行ってこっち向き
[00:20:58] のブラーかけてあげたらいい感じに置く
[00:21:00] だけ色つけるとかができるんじゃないかな
[00:21:03] と思います
[00:21:03] [音楽]
[00:21:06] R90でコロッとしておいて
[00:21:09] あとはまつげですね
[00:21:12] まつげは基本的に前面と背面というふうに
[00:21:15] 分けてあげたらいいと思いますまだCM
[00:21:17] 入れてなかったので入れてあげますね
[00:21:23] コントロールでマークシーム
[00:21:30] ココ
[00:21:32] ボルトクリックで
[00:21:36] マークシーム
[00:21:38] 全面対面だから
[00:21:40] こっちにCM入れて
[00:21:43] [音楽]
[00:21:44] ここクリアして
[00:21:48] ここもマークシームして
[00:21:54] クリアシームしてこれで
[00:21:57] Lキー使ったら全面だけ
[00:21:59] 選択できませんねしたら家で展開すると
[00:22:02] こんな感じですねうんなかなか塗りやす
[00:22:05] そうなのでは
[00:22:07] 7.4.1のバグーかわかんないんです
[00:22:09] けど
[00:22:10] UV東京にしてる時こういうなんか点々
[00:22:13] みたいな出てくるんですよね特に気にせず
[00:22:15] 指同期だけ切っておきますまつげの全面
[00:22:19] OKだから次
[00:22:22] 背面をLで選択して
[00:22:24] Uで展開
[00:22:25] [音楽]
[00:22:29] これもこのちっこいまつげも
[00:22:33] 前面と背面を分けるような感じで
[00:22:37] ボルトクリックしながらコントロールイン
[00:22:40] マークシームでチーム入れてあげて
[00:22:43] LL
[00:22:45] 選択してUで展開これで前面と背面に
[00:22:49] 分かれてくれましたね真ん中に割りが入っ
[00:22:52] てる方が全面になってると思います
[00:22:55] まつげも配置してあげますねこれが大きい
[00:22:58] のの前面
[00:22:59] [音楽]
[00:23:02] これが大きいのの背面
[00:23:04] 前面多分そんなに塗らないから逆展開して
[00:23:09] [音楽]
[00:23:12] ちっこいまつ毛ちっこい祭りで聞こえ
[00:23:16] まつげ
[00:23:22] [音楽]
[00:23:28] まつ毛がこう3Dビューと同じまつ毛の
[00:23:33] 並びになってた方が直感的に塗りやすいか
[00:23:35] なと思うので
[00:23:37] UVエディターでピュって動かしてみたら
[00:23:39] あーこれ真ん中のまつげなんだなっていう
[00:23:42] のがわかると思うのでこうおかしいこれが
[00:23:45] 一番左のまつげこれが一番右のまつ毛と
[00:23:50] いう風に選んで動かしてっていうのが一番
[00:23:54] [音楽]
[00:23:57] 早くて分かりやすい気がしますねこれが
[00:24:00] こっちこれがこっち
[00:24:06] で全体をぎゅっとちっちゃくしてあげてで
[00:24:09] もまつ毛をまあまあ乗る
[00:24:12] 箇所があるのである程度解像度は確保して
[00:24:15] おきたいですね逆に口の中とかあんまり
[00:24:19] 見えないから解像度はいらない気がする
[00:24:22] したらオルトエッジでもろもろ再表示して
[00:24:25] あげてそれを見るとこんな感じですねあと
[00:24:28] は歯と
[00:24:30] 舌と目もこのテクスチャに入れてあげよう
[00:24:32] と思いますなキーボードのスラッシュで
[00:24:35] ローカルビュー抜けて次は目をやって
[00:24:38] あげようと思うんですけど今目一目部分と
[00:24:42] ハイライト部分で同じオブジェクト内で
[00:24:45] やってるんですけどやりやすいように
[00:24:47] ハイライトは別オブジェクトに分離しよう
[00:24:49] と思いますビルで
[00:24:52] 前側のメッシュ選択してPで分離分離し
[00:24:57] たら分かりやすいようもリネームしておき
[00:24:59] ましょうF2キーでアイハイライトとかに
[00:25:04] しておきますでしておいて
[00:25:07] 瞳の方のオブジェクト選んで
[00:25:11] UVを右上の端っこらへんに持ってきて
[00:25:13] おきます結構大きめの島にしておいていい
[00:25:17] んじゃないかなと思います書き込み多い気
[00:25:19] がするし
[00:25:20] 次が歯と下ですね今顔の下にあるけど顔
[00:25:26] 一旦非表示にして
[00:25:28] シェードスムースとかもやってなかったの
[00:25:30] で
[00:25:31] カットした
[00:25:34] ゼロスムースしておいて特に
[00:25:37] CM入れてないけどこのまま
[00:25:39] 銃で展開してみて
[00:25:41] そんな悪くなさそうだけども
[00:25:46] テックスのレクティファイ使うとこうなり
[00:25:49] ますねもうまっすぐしておいてあげても
[00:25:52] いいかもしれない
[00:25:54] ほとんど私は書き込みしないので
[00:25:57] 上下の刃が大きさ違ってるとちょっと
[00:26:00] 気持ち悪いので大きさだけ上下で合わせて
[00:26:03] おきます
[00:26:05] あとは今さっき顔のUV展開する時には
[00:26:09] 未来Uのチェック入れて左右のUV重ね
[00:26:12] ないようにしたんですけど
[00:26:14] 歯に関してはまあ重ねてもいいかな
[00:26:17] [音楽]
[00:26:19] 目の横らへんにくるように持ってきておき
[00:26:22] ますね下もUV展開してみますねうん秒で
[00:26:27] 展開するとこんな感じうーん下もこのまま
[00:26:31] でいいかなカット下に関してはこだわり
[00:26:34] なし
[00:26:36] もしめっちゃ書き込みたい人は綺麗に展開
[00:26:38] してあげてください
[00:26:40] 歯の近くに持ってきておきます
[00:26:44] あと下に関してもオブジェクト一緒にし
[00:26:46] ちゃってもいいかもしれないですね
[00:26:48] コントロールせいで一緒にしてみんな
[00:26:52] マウスとかにしておこうか
[00:26:55] オーナーみたいな顔のオブジェクトも表示
[00:26:58] させて
[00:26:59] これで耳毛以外できましたね最終的には
[00:27:04] この
[00:27:04] 四角の中に全部のUVが収まるように
[00:27:07] パズルしてあげないといけないんですけど
[00:27:09] この
[00:27:11] 耳
[00:27:12] 猫耳を顔の指に収めるか
[00:27:14] 髪のUVに収めるかでパズルが変わって
[00:27:16] くるので
[00:27:18] 髪のUVをやってから顔の方のUVの
[00:27:20] パズルをやってあげようと思います
[00:27:23] [音楽]
